DATE,NIS5,TX_DESCR_FR,CASES
2020-03-03,92094,Namur,<5
2020-03-06,92003,Andenne,<5
2020-03-09,92094,Namur,<5
2020-03-11,92003,Andenne,<5
2020-03-12,92035,Eghezée,<5
2020-03-13,92094,Namur,<5
2020-03-14,92003,Andenne,<5
2020-03-15,92003,Andenne,<5
2020-03-17,92003,Andenne,<5
2020-03-17,92006,Assesse,<5
2020-03-17,92035,Eghezée,<5
2020-03-17,92094,Namur,<5
2020-03-18,92003,Andenne,<5
2020-03-18,92035,Eghezée,<5
2020-03-18,92054,Gesves,<5
2020-03-18,92087,Mettet,<5
2020-03-18,92094,Namur,5
2020-03-19,92003,Andenne,<5
2020-03-19,92035,Eghezée,<5
2020-03-19,92087,Mettet,<5
2020-03-19,92094,Namur,<5
2020-03-20,92003,Andenne,<5
2020-03-20,92035,Eghezée,<5
2020-03-20,92094,Namur,<5
2020-03-21,92003,Andenne,<5
2020-03-21,92094,Namur,<5
2020-03-22,92045,Floreffe,<5
2020-03-22,92087,Mettet,<5
2020-03-22,92094,Namur,<5
2020-03-23,92003,Andenne,<5
2020-03-23,92006,Assesse,<5
2020-03-23,92035,Eghezée,<5
2020-03-23,92087,Mettet,<5
2020-03-23,92094,Namur,7
2020-03-24,92003,Andenne,<5
2020-03-24,92035,Eghezée,<5
2020-03-24,92048,Fosses-la-Ville,<5
2020-03-24,92087,Mettet,<5
2020-03-24,92094,Namur,9
2020-03-25,92003,Andenne,<5
2020-03-25,92035,Eghezée,<5
2020-03-25,92048,Fosses-la-Ville,<5
2020-03-25,92087,Mettet,<5
2020-03-25,92094,Namur,7
2020-03-26,92003,Andenne,<5
2020-03-26,92006,Assesse,<5
2020-03-26,92035,Eghezée,<5
2020-03-26,92045,Floreffe,<5
2020-03-26,92048,Fosses-la-Ville,<5
2020-03-26,92094,Namur,7
2020-03-26,92097,Ohey,<5
2020-03-27,92003,Andenne,<5
2020-03-27,92006,Assesse,<5
2020-03-27,92035,Eghezée,<5
2020-03-27,92045,Floreffe,<5
2020-03-27,92048,Fosses-la-Ville,<5
2020-03-27,92054,Gesves,<5
2020-03-27,92087,Mettet,<5
2020-03-27,92094,Namur,11
2020-03-28,92003,Andenne,<5
2020-03-28,92006,Assesse,<5
2020-03-28,92035,Eghezée,<5
2020-03-28,92048,Fosses-la-Ville,<5
2020-03-28,92094,Namur,9
2020-03-29,92003,Andenne,<5
2020-03-29,92045,Floreffe,<5
2020-03-29,92094,Namur,<5
2020-03-30,92003,Andenne,<5
2020-03-30,92035,Eghezée,<5
2020-03-30,92045,Floreffe,<5
2020-03-30,92048,Fosses-la-Ville,<5
2020-03-30,92054,Gesves,<5
2020-03-30,92087,Mettet,<5
2020-03-30,92094,Namur,15
2020-03-31,92003,Andenne,<5
2020-03-31,92006,Assesse,<5
2020-03-31,92035,Eghezée,<5
2020-03-31,92045,Floreffe,<5
2020-03-31,92087,Mettet,<5
2020-03-31,92094,Namur,9
2020-03-31,92097,Ohey,<5
2020-04-01,92003,Andenne,6
2020-04-01,92006,Assesse,<5
2020-04-01,92035,Eghezée,<5
2020-04-01,92045,Floreffe,<5
2020-04-01,92094,Namur,12
2020-04-02,92006,Assesse,<5
2020-04-02,92035,Eghezée,<5
2020-04-02,92045,Floreffe,<5
2020-04-02,92048,Fosses-la-Ville,<5
2020-04-02,92054,Gesves,<5
2020-04-02,92087,Mettet,<5
2020-04-02,92094,Namur,19
2020-04-02,92097,Ohey,<5
2020-04-03,92003,Andenne,<5
2020-04-03,92045,Floreffe,<5
2020-04-03,92048,Fosses-la-Ville,<5
2020-04-03,92054,Gesves,<5
2020-04-03,92087,Mettet,<5
2020-04-03,92094,Namur,28
2020-04-04,92003,Andenne,<5
2020-04-04,92035,Eghezée,5
2020-04-04,92087,Mettet,<5
2020-04-04,92094,Namur,13
2020-04-05,92003,Andenne,<5
2020-04-05,92048,Fosses-la-Ville,<5
2020-04-05,92054,Gesves,<5
2020-04-05,92094,Namur,<5
2020-04-06,92003,Andenne,6
2020-04-06,92035,Eghezée,6
2020-04-06,92045,Floreffe,<5
2020-04-06,92048,Fosses-la-Ville,<5
2020-04-06,92054,Gesves,<5
2020-04-06,92087,Mettet,<5
2020-04-06,92094,Namur,15
2020-04-06,92097,Ohey,<5
2020-04-07,92003,Andenne,<5
2020-04-07,92006,Assesse,<5
2020-04-07,92035,Eghezée,<5
2020-04-07,92045,Floreffe,<5
