Country/Region,French Name,Continent,Last Update,Confirmed,Deaths,Recovered,Existing
Afghanistan,Afghanistan,Asie,2020-03-25 23:33:04,84,2,2,80
Albania,Albanie,Europe,2020-03-25 23:33:04,146,5,17,124
Algeria,Algérie,Afrique,2020-03-25 23:33:04,302,21,65,216
Andorra,Andorre,Europe,2020-03-25 23:33:04,188,1,1,186
Angola,Angola,Afrique,2020-03-25 23:33:04,3,0,0,3
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-25 23:33:04,3,0,0,3
Arab Republic of Egypt,Égypte,Afrique,2020-03-25 23:33:04,456,21,95,340
Argentina,Argentine,Amérique du Sud,2020-03-25 23:33:04,387,8,52,327
Armenia,Arménie,Asie,2020-03-25 23:33:04,265,0,16,249
Austria,Autriche,Europe,2020-03-25 23:33:04,5588,30,9,5549
Azerbaijan,Azebaïdjan,Asie,2020-03-25 23:33:04,93,2,10,81
Bahrain,Bahrein,Asie,2020-03-25 23:33:04,419,4,177,238
Bangladesh,Bangladesh,Asie,2020-03-25 23:33:04,39,5,7,27
Barbados,Barbados,Amérique Centrale,2020-03-25 23:33:04,18,0,0,18
Belarus,Biélorusse,Europe,2020-03-25 23:33:04,86,0,29,57
Belgium,Belgique,Europe,2020-03-25 23:33:04,4937,178,547,4212
Belize,Belize,Amérique Centrale,2020-03-25 23:33:04,2,0,0,2
Benin,Bénin,Afrique,2020-03-25 23:33:04,6,0,0,6
Bhutan,Bhoutan,Asie,2020-03-25 23:33:04,2,0,0,2
Bolivia,Bolivie,Amérique du Sud,2020-03-25 23:33:04,32,0,0,32
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-25 23:33:04,176,3,2,171
Brazil,Brésil,Amérique du Sud,2020-03-25 23:33:04,2554,59,2,2493
Brunei Darussalam,Brunei,Asie,2020-03-25 23:33:04,109,0,2,107
Bulgaria,Bulgarie,Europe,2020-03-25 23:33:04,242,3,4,235
Burkina Faso,Burkina Faso,Afrique,2020-03-25 23:33:04,146,4,10,132
C-Australia,,Océanie,2020-03-25 23:37:49,39,0,0,39
C-Australia,,Océanie,2020-03-25 23:37:49,1029,7,4,1018
C-Australia,,Océanie,2020-03-25 23:37:49,6,0,0,6
C-Australia,,Océanie,2020-03-25 23:37:49,443,0,8,435
C-Australia,,Océanie,2020-03-25 23:37:49,170,0,6,164
C-Australia,,Océanie,2020-03-25 23:37:49,36,0,3,33
C-Australia,,Océanie,2020-03-25 23:37:49,466,0,97,369
C-Australia,,Océanie,2020-03-25 23:37:49,175,1,1,173
C-Canada,,Océanie,2020-03-25 23:37:36,358,2,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,617,13,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,0,1,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,13,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,35,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,18,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,35,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,68,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,688,8,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,5,0,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,1342,6,0,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,0,0,183,0
C-Canada,,Amérique du Nord,2020-03-25 23:37:36,72,0,0,0
C-China,,Asie,2020-03-08 05:19:01,990,6,984,0
C-China,,Asie,2020-03-25 07:35:38,561,8,403,150
C-China,,Asie,2020-03-23 23:34:38,578,6,570,2
C-China,,Asie,2020-03-25 06:43:02,322,1,295,26
C-China,,Asie,2020-03-24 13:59:18,136,2,119,15
C-China,,Asie,2020-03-25 10:50:39,1433,8,1336,89
C-China,,Asie,2020-03-20 04:33:45,254,2,250,2
C-China,,Asie,2020-03-18 01:37:43,146,2,144,0
C-China,,Asie,2020-03-24 04:29:15,168,6,168,-6
C-China,,Asie,2020-03-23 01:53:35,319,6,310,3
C-China,,Asie,2020-03-24 00:10:20,484,13,468,3
C-China,,Asie,2020-03-23 01:11:34,1274,22,1250,2
C-China,,Asie,2020-03-25 09:10:20,410,4,102,304
C-China,,Asie,2020-03-25 10:50:39,67801,3163,60811,3827
C-China,,Asie,2020-03-14 08:25:05,1018,4,1014,0
C-China,,Asie,2020-03-25 06:43:02,77,1,74,2
C-China,,Asie,2020-03-25 06:43:02,638,0,631,7
C-China,,Asie,2020-03-23 01:27:01,936,1,934,1
C-China,,Asie,2020-03-25 06:43:02,94,1,92,1
C-China,,Asie,2020-03-23 00:54:48,127,2,124,1
C-China,,Asie,2020-03-25 07:30:31,30,0,10,20
C-China,,Asie,2020-03-16 08:47:05,75,0,75,0
C-China,,Asie,2020-02-23 11:19:02,18,0,18,0
C-China,,Asie,2020-03-25 06:43:02,250,3,240,7
C-China,,Asie,2020-03-25 06:43:02,769,7,752,10
C-China,,Asie,2020-03-25 06:43:02,433,5,330,98
C-China,,Asie,2020-03-23 23:25:43,134,0,133,1
C-China,,Asie,2020-03-25 06:43:02,547,3,536,8
C-China,,Asie,2020-03-24 14:16:21,145,3,133,9
C-China,,Asie,2020-02-23 11:19:02,1,0,1,0
C-China,,Asie,2020-03-08 05:31:02,76,3,73,0
C-China,,Asie,2020-03-16 23:37:18,176,2,172,2
C-China,,Asie,2020-03-25 06:43:02,1241,1,1221,19
C-Denmark,,Europe,2020-03-25 23:33:04,132,0,38,94
C-Denmark,,Europe,2020-03-25 23:33:04,6,0,2,4
C-Denmark,,Europe,2020-03-25 23:33:04,1724,34,1,1689
C-France,,Europe,2020-03-25 23:33:04,28,0,6,22
C-France,,Europe,2020-03-25 23:33:04,25,0,0,25
C-France,,Europe,2020-03-25 23:33:04,73,1,0,72
C-France,,Europe,2020-03-25 23:33:04,66,1,0,65
C-France,,Europe,2020-03-25 23:33:04,36,0,0,36
C-France,,Europe,2020-03-25 23:33:04,14,0,0,14
C-France,,Europe,2020-03-25 23:33:04,111,0,1,110
C-France,,Europe,2020-03-25 23:33:04,3,0,0,3
C-France,,Europe,2020-03-25 23:33:04,11,0,0,11
C-France,,Europe,2020-03-25 23:33:04,25233,1331,3900,20002
C-Netherlands,,Europe,2020-03-25 23:33:04,17,0,1,16
C-Netherlands,,Europe,2020-03-25 23:33:04,6,1,0,5
C-Netherlands,,Europe,2020-03-25 23:33:04,3,0,0,3
C-Netherlands,,Europe,2020-03-25 23:33:04,6412,356,3,6053
C-United Kingdom,,Europe,2020-03-25 23:33:04,7,0,0,7
C-United Kingdom,,Europe,2020-03-25 23:33:04,8,1,0,7
C-United Kingdom,,Europe,2020-03-25 23:33:04,46,0,0,46
C-United Kingdom,,Europe,2020-03-25 23:33:04,26,0,5,21
