Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-03-27 23:23:03,110,4,2,104
Albania,Albanie,Europe,2020-03-27 23:23:03,186,8,31,147
Algeria,Algérie,Afrique,2020-03-27 23:23:03,409,26,29,354
Andorra,Andorre,Europe,2020-03-27 23:23:03,267,3,1,263
Angola,Angola,Afrique,2020-03-27 23:23:03,4,0,0,4
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-27 23:23:03,7,0,0,7
Arab Republic of Egypt,Égypte,Afrique,2020-03-27 23:23:03,536,30,116,390
Argentina,Argentine,Amérique du Sud,2020-03-27 23:23:03,589,13,72,504
Armenia,Arménie,Asie,2020-03-27 23:23:03,329,1,28,300
Austria,Autriche,Europe,2020-03-27 23:23:03,7657,58,225,7374
Azerbaijan,Azebaïdjan,Asie,2020-03-27 23:23:03,165,3,15,147
Bahrain,Bahrein,Asie,2020-03-27 23:23:03,466,4,227,235
Bangladesh,Bangladesh,Asie,2020-03-27 23:23:03,48,5,11,32
Barbados,Barbados,Amérique Centrale,2020-03-27 23:23:03,24,0,0,24
Belarus,Biélorusse,Europe,2020-03-27 23:23:03,94,0,32,62
Belgium,Belgique,Europe,2020-03-27 23:23:03,9134,353,1053,7728
Belize,Belize,Amérique Centrale,2020-03-27 23:23:03,2,0,0,2
Benin,Bénin,Afrique,2020-03-27 23:23:03,6,0,0,6
Bhutan,Bhoutan,Asie,2020-03-27 23:23:03,3,0,0,3
Bolivia,Bolivie,Amérique du Sud,2020-03-27 23:23:03,61,0,0,61
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-27 23:23:03,237,4,5,228
Brazil,Brésil,Amérique du Sud,2020-03-27 23:23:03,3417,92,6,3319
Brunei Darussalam,Brunei,Asie,2020-03-27 23:23:03,115,0,11,104
Bulgaria,Bulgarie,Europe,2020-03-27 23:23:03,293,3,9,281
Burkina Faso,Burkina Faso,Afrique,2020-03-27 23:23:03,180,9,12,159
Myanmar,Birmanie,Asie,2020-03-27 23:23:04,8,0,0,8
C-Australia,,Océanie,2020-03-27 23:23:03,62,0,1,61
