DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,Empty
2020-02-28,2,2,1,,5,2,2,1,0
2020-02-29,2,11,3,,16,4,13,4,0
2020-03-01,6,8,2,,16,10,21,6,0
2020-03-02,4,12,1,,17,14,33,7,0
2020-03-03,2,21,13,,36,16,54,20,0
2020-03-04,5,31,12,6,54,21,85,32,6
2020-03-05,2,59,20,,81,23,144,52,6
2020-03-06,9,74,23,1,107,32,218,75,7
2020-03-07,5,16,6,,27,37,234,81,7
2020-03-08,7,37,19,1,64,44,271,100,8
2020-03-09,12,37,42,3,94,56,308,142,11
2020-03-10,13,57,22,7,99,69,365,164,18
2020-03-11,17,106,46,1,170,86,471,210,19
2020-03-12,37,136,69,5,247,123,607,279,24
2020-03-13,39,166,113,19,337,162,773,392,43
2020-03-14,30,74,66,7,177,192,847,458,50
2020-03-15,27,125,53,10,215,219,972,511,60
2020-03-16,61,204,115,8,388,280,1176,626,68
2020-03-17,24,257,127,10,418,304,1433,753,78
2020-03-18,58,288,185,5,536,362,1721,938,83
2020-03-19,55,383,246,32,716,417,2104,1184,115
2020-03-20,70,393,189,11,663,487,2497,1373,126
2020-03-21,44,248,164,14,470,531,2745,1537,140
2020-03-22,65,235,176,13,489,596,2980,1713,153
2020-03-23,116,808,394,10,1328,712,3788,2107,163
2020-03-24,122,685,378,7,1192,834,4473,2485,170
2020-03-25,142,716,324,12,1194,976,5189,2809,182
2020-03-26,149,817,375,15,1356,1125,6006,3184,197
2020-03-27,186,937,371,25,1519,1311,6943,3555,222
2020-03-28,147,477,204,13,841,1458,7420,3759,235
2020-03-29,93,364,209,13,679,1551,7784,3968,248
2020-03-30,136,1033,451,25,1645,1687,8817,4419,273
2020-03-31,177,870,351,17,1415,1864,9687,4770,290
2020-04-01,138,805,381,19,1343,2002,10492,5151,309
2020-04-02,145,728,247,12,1132,2147,11220,5398,321
Total Result,2147,11220,5398,321,19086,,,,
