DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Bruxelles,Flandre,Wallonie,Total Cumul
2020-03-10,1,,,,1,1,0,0,1
2020-03-11,2,1,,,3,3,1,0,4
2020-03-12,1,,,,1,4,1,0,5
2020-03-13,3,,,,3,7,1,0,8
2020-03-14,5,,,,5,12,1,0,13
2020-03-15,2,2,1,,5,14,3,1,18
2020-03-16,3,2,5,,10,17,5,6,28
2020-03-17,5,3,2,,10,22,8,8,38
2020-03-18,8,6,5,,19,30,14,13,57
2020-03-19,5,7,13,,25,35,21,26,82
2020-03-20,7,9,11,,27,42,30,37,109
2020-03-21,3,16,16,,35,45,46,53,144
2020-03-22,8,19,19,,46,53,65,72,190
2020-03-23,9,35,31,,75,62,100,103,265
2020-03-24,7,27,33,,67,69,127,136,332
2020-03-25,12,41,38,,91,81,168,174,423
2020-03-26,16,35,37,,88,97,203,211,511
2020-03-27,14,68,33,,115,111,271,244,626
2020-03-28,25,62,38,,125,136,333,282,751
2020-03-29,19,56,54,,129,155,389,336,880
2020-03-30,29,75,54,,158,184,464,390,1038
2020-03-31,26,81,61,,168,210,545,451,1206
2020-04-01,30,140,62,,232,240,685,513,1438
2020-04-02,36,99,56,,191,276,784,569,1629
2020-04-03,21,112,83,,216,297,896,652,1845
2020-04-04,48,133,81,,262,345,1029,733,2107
2020-04-05,30,110,76,,216,375,1139,809,2323
2020-04-06,35,139,84,,258,410,1278,893,2581
2020-04-07,42,153,100,,295,452,1431,993,2876
2020-04-08,51,153,110,,314,503,1584,1103,3190
2020-04-09,37,122,103,,262,540,1706,1206,3452
2020-04-10,43,156,104,,303,583,1862,1310,3755
