DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,Empty
2020-02-28,2,2,1,,5,2,2,1,0
2020-02-29,2,11,3,,16,4,13,4,0
2020-03-01,6,8,2,,16,10,21,6,0
2020-03-02,4,11,1,,16,14,32,7,0
2020-03-03,2,21,13,,36,16,53,20,0
2020-03-04,5,32,12,6,55,21,85,32,6
2020-03-05,2,59,20,,81,23,144,52,6
2020-03-06,9,70,22,,101,32,214,74,6
2020-03-07,5,19,6,,30,37,233,80,6
2020-03-08,7,37,18,1,63,44,270,98,7
2020-03-09,12,37,27,3,79,56,307,125,10
2020-03-10,13,58,23,7,101,69,365,148,17
2020-03-11,17,106,42,1,166,86,471,190,18
2020-03-12,37,135,63,5,240,123,606,253,23
2020-03-13,38,165,123,19,345,161,771,376,42
2020-03-14,30,75,64,7,176,191,846,440,49
2020-03-15,27,125,52,10,214,218,971,492,59
2020-03-16,60,203,112,8,383,278,1174,604,67
2020-03-17,24,255,118,10,407,302,1429,722,77
2020-03-18,59,287,183,5,534,361,1716,905,82
2020-03-19,54,385,238,32,709,415,2101,1143,114
2020-03-20,69,391,186,11,657,484,2492,1329,125
2020-03-21,44,248,160,14,466,528,2740,1489,139
2020-03-22,65,235,171,13,484,593,2975,1660,152
2020-03-23,115,800,370,10,1295,708,3775,2030,162
2020-03-24,124,687,338,7,1156,832,4462,2368,169
2020-03-25,142,708,297,12,1159,974,5170,2665,181
2020-03-26,146,801,347,14,1308,1120,5971,3012,195
2020-03-27,175,894,283,25,1377,1295,6865,3295,220
Total Result,1295,6865,3295,220,11675,,,,
