DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,Empty
2020-02-28,2,2,1,,5,2,2,1,0
2020-02-29,2,11,3,,16,4,13,4,0
2020-03-01,6,8,2,,16,10,21,6,0
2020-03-02,4,12,1,,17,14,33,7,0
2020-03-03,2,21,13,,36,16,54,20,0
2020-03-04,5,31,12,6,54,21,85,32,6
2020-03-05,2,59,20,,81,23,144,52,6
2020-03-06,9,74,23,1,107,32,218,75,7
2020-03-07,5,16,6,,27,37,234,81,7
2020-03-08,7,37,19,1,64,44,271,100,8
2020-03-09,12,37,42,3,94,56,308,142,11
2020-03-10,13,57,22,7,99,69,365,164,18
2020-03-11,17,106,46,1,170,86,471,210,19
2020-03-12,37,136,68,5,246,123,607,278,24
2020-03-13,39,165,112,19,335,162,772,390,43
2020-03-14,30,74,65,7,176,192,846,455,50
2020-03-15,27,125,53,10,215,219,971,508,60
2020-03-16,61,204,115,8,388,280,1175,623,68
2020-03-17,24,257,125,10,416,304,1432,748,78
2020-03-18,58,288,184,5,535,362,1720,932,83
2020-03-19,55,383,243,32,713,417,2103,1175,115
2020-03-20,70,393,188,11,662,487,2496,1363,126
2020-03-21,44,248,160,14,466,531,2744,1523,140
2020-03-22,65,235,175,13,488,596,2979,1698,153
2020-03-23,116,808,377,10,1311,712,3787,2075,163
2020-03-24,122,682,344,7,1155,834,4469,2419,170
2020-03-25,142,713,308,12,1175,976,5182,2727,182
2020-03-26,147,810,353,15,1325,1123,5992,3080,197
2020-03-27,186,916,302,25,1429,1309,6908,3382,222
2020-03-28,145,475,167,13,800,1454,7383,3549,235
Total Result,1454,7383,3549,235,12621,2908,14766,7098,470
