DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,(empty)
2020-01-30,,,1,,1,0,0,1,0
2020-02-01,,1,,,1,0,1,1,0
2020-02-06,,,2,,2,0,1,3,0
2020-02-08,,,1,,1,0,1,4,0
2020-02-10,,,1,,1,0,1,5,0
2020-02-11,,,1,,1,0,1,6,0
2020-02-12,,,1,,1,0,1,7,0
2020-02-18,,,1,,1,0,1,8,0
2020-02-20,,,1,,1,0,1,9,0
2020-02-22,,,1,,1,0,1,10,0
2020-02-24,2,1,1,,4,2,2,11,0
2020-02-25,3,,2,,5,5,2,13,0
2020-02-26,,,3,,3,5,2,16,0
2020-02-27,2,3,4,,9,7,5,20,0
2020-02-28,2,2,1,,5,9,7,21,0
2020-02-29,2,11,3,,16,11,18,24,0
2020-03-01,6,8,2,,16,17,26,26,0
2020-03-02,4,12,1,,17,21,38,27,0
2020-03-03,2,21,13,,36,23,59,40,0
2020-03-04,5,31,12,6,54,28,90,52,6
2020-03-05,2,59,20,,81,30,149,72,6
2020-03-06,9,74,23,1,107,39,223,95,7
2020-03-07,5,16,6,,27,44,239,101,7
2020-03-08,7,37,19,1,64,51,276,120,8
2020-03-09,12,37,42,3,94,63,313,162,11
2020-03-10,13,57,22,7,99,76,370,184,18
2020-03-11,17,106,46,1,170,93,476,230,19
2020-03-12,37,136,68,5,246,130,612,298,24
2020-03-13,39,165,112,19,335,169,777,410,43
2020-03-14,30,74,65,7,176,199,851,475,50
2020-03-15,27,125,53,10,215,226,976,528,60
2020-03-16,61,204,115,8,388,287,1180,643,68
2020-03-17,24,257,125,10,416,311,1437,768,78
2020-03-18,58,288,184,5,535,369,1725,952,83
2020-03-19,55,383,243,32,713,424,2108,1195,115
2020-03-20,70,393,188,11,662,494,2501,1383,126
2020-03-21,44,248,160,14,466,538,2749,1543,140
2020-03-22,65,235,175,13,488,603,2984,1718,153
2020-03-23,116,808,377,10,1311,719,3792,2095,163
2020-03-24,122,682,344,7,1155,841,4474,2439,170
2020-03-25,142,713,308,12,1175,983,5187,2747,182
2020-03-26,147,810,353,15,1325,1130,5997,3100,197
2020-03-27,186,916,302,25,1429,1316,6913,3402,222
2020-03-28,145,475,167,13,800,1461,7388,3569,235
2020-03-29,92,351,186,13,642,1553,7739,3755,248
2020-03-30,124,989,316,24,1453,1677,8728,4071,272
2020-03-31,40,396,146,7,589,1717,9124,4217,279
2020-04-01,,5,3,1,9,1717,9129,4220,280
Total Result,1717,9129,4220,280,15346,,,,
