DATE,Sum - CASES,Cases cumul
2020-03-01,16,16
2020-03-02,17,33
2020-03-03,36,69
2020-03-04,56,125
2020-03-05,81,206
2020-03-06,107,313
2020-03-07,27,340
2020-03-08,64,404
2020-03-09,94,498
2020-03-10,99,597
2020-03-11,170,767
2020-03-12,247,1014
2020-03-13,338,1352
2020-03-14,177,1529
2020-03-15,215,1744
2020-03-16,388,2132
2020-03-17,418,2550
2020-03-18,536,3086
2020-03-19,716,3802
2020-03-20,663,4465
2020-03-21,470,4935
2020-03-22,487,5422
2020-03-23,1330,6752
2020-03-24,1195,7947
2020-03-25,1199,9146
2020-03-26,1363,10509
2020-03-27,1519,12028
2020-03-28,845,12873
2020-03-29,683,13556
2020-03-30,1739,15295
2020-03-31,1680,16975
2020-04-01,1506,18481
2020-04-02,1445,19926
2020-04-03,1692,21618
2020-04-04,918,22536
2020-04-05,647,23183
2020-04-06,1898,25081
2020-04-07,1459,26540
2020-04-08,1521,28061
2020-04-09,2139,30200
2020-04-10,2241,32441
2020-04-11,974,33415
2020-04-12,510,33925
2020-04-13,477,34402
2020-04-14,1149,35551
