DATE,Brussels,Flanders,Wallonia,Total Result,Bruxelles,Flandre,Wallonie,Total Cumul
2020-03-10,1,,,1,1,0,0,1
2020-03-11,2,1,,3,3,1,0,4
2020-03-12,1,,,1,4,1,0,5
2020-03-13,3,,,3,7,1,0,8
2020-03-14,4,1,,5,11,2,0,13
2020-03-15,2,2,,4,13,4,0,17
2020-03-16,3,2,5,10,16,6,5,27
2020-03-17,5,3,2,10,21,9,7,37
2020-03-18,8,4,5,17,29,13,12,54
2020-03-19,5,6,13,24,34,19,25,78
2020-03-20,6,6,11,23,40,25,36,101
2020-03-21,2,12,16,30,42,37,52,131
2020-03-22,7,12,17,36,49,49,69,167
2020-03-23,8,26,29,63,57,75,98,230
2020-03-24,7,24,35,66,64,99,133,296
2020-03-25,12,34,39,85,76,133,172,381
2020-03-26,14,28,34,76,90,161,206,457
2020-03-27,14,44,29,87,104,205,235,544
2020-03-28,21,43,39,103,125,248,274,647
2020-03-29,16,36,50,102,141,284,324,749
2020-03-30,26,49,53,128,167,333,377,877
2020-03-31,25,59,59,143,192,392,436,1020
2020-04-01,22,62,56,140,214,454,492,1160
2020-04-02,32,52,53,137,246,506,545,1297
2020-04-03,12,55,51,118,258,561,596,1415
