DATE,Brussels,Flanders,Wallonia,Total Result,Bruxelles,Flandre,Wallonie,Total Cumul
2020-03-10,1,,,1,1,0,0,1
2020-03-11,2,1,,3,3,1,0,4
2020-03-12,1,,,1,4,1,0,5
2020-03-13,2,,,2,6,1,0,7
2020-03-14,4,1,,5,10,2,0,12
2020-03-15,2,1,,3,12,3,0,15
2020-03-16,3,,4,7,15,3,4,22
2020-03-17,3,2,2,7,18,5,6,29
2020-03-18,8,,5,13,26,5,11,42
2020-03-19,5,6,11,22,31,11,22,64
2020-03-20,6,5,11,22,37,16,33,86
2020-03-21,1,9,14,24,38,25,47,110
2020-03-22,4,9,12,25,42,34,59,135
2020-03-23,8,25,30,63,50,59,89,198
2020-03-24,5,25,28,58,55,84,117,256
2020-03-25,10,34,31,75,65,118,148,331
2020-03-26,12,30,31,73,77,148,179,404
2020-03-27,12,45,25,82,89,193,204,486
2020-03-28,20,44,34,98,109,237,238,584
2020-03-29,12,35,42,89,121,272,280,673
2020-03-30,6,14,12,32,127,286,292,705
Total Result,127,286,292,705,,,,
