DATE,NIS5,TX_DESCR_FR,CASES
2020-03-01,21004,Bruxelles,<5
2020-03-01,21009,Ixelles,<5
2020-03-01,21014,Saint-Josse-ten-Noode,<5
2020-03-02,21003,Berchem-Sainte-Agathe,<5
2020-03-02,21016,Uccle,<5
2020-03-02,21018,Woluwe-Saint-Lambert,<5
2020-03-02,21019,Woluwe-Saint-Pierre,<5
2020-03-03,21001,Anderlecht,<5
2020-03-03,21017,Watermael-Boitsfort,<5
2020-03-04,21004,Bruxelles,<5
2020-03-04,21006,Evere,<5
2020-03-04,21009,Ixelles,<5
2020-03-04,21010,Jette,<5
2020-03-04,21018,Woluwe-Saint-Lambert,<5
2020-03-05,21016,Uccle,<5
2020-03-06,21004,Bruxelles,<5
2020-03-06,21008,Ganshoren,<5
2020-03-06,21016,Uccle,<5
2020-03-06,21018,Woluwe-Saint-Lambert,<5
2020-03-06,21019,Woluwe-Saint-Pierre,<5
2020-03-07,21005,Etterbeek,<5
2020-03-07,21009,Ixelles,<5
2020-03-07,21013,Saint-Gilles,<5
2020-03-07,21018,Woluwe-Saint-Lambert,<5
2020-03-07,21019,Woluwe-Saint-Pierre,<5
2020-03-08,21001,Anderlecht,<5
2020-03-08,21004,Bruxelles,<5
2020-03-08,21009,Ixelles,<5
2020-03-08,21010,Jette,<5
2020-03-08,21016,Uccle,<5
2020-03-09,21001,Anderlecht,<5
2020-03-09,21004,Bruxelles,<5
2020-03-09,21009,Ixelles,<5
2020-03-09,21011,Koekelberg,<5
2020-03-09,21013,Saint-Gilles,<5
2020-03-09,21015,Schaerbeek,<5
2020-03-09,21016,Uccle,<5
2020-03-09,21017,Watermael-Boitsfort,<5
2020-03-09,21019,Woluwe-Saint-Pierre,<5
2020-03-10,21002,Auderghem,<5
2020-03-10,21004,Bruxelles,<5
2020-03-10,21007,Forest (Bruxelles-Capitale),<5
2020-03-10,21012,Molenbeek-Saint-Jean,<5
2020-03-10,21015,Schaerbeek,<5
2020-03-10,21016,Uccle,<5
2020-03-10,21017,Watermael-Boitsfort,<5
2020-03-10,21018,Woluwe-Saint-Lambert,<5
2020-03-10,21019,Woluwe-Saint-Pierre,<5
2020-03-11,21001,Anderlecht,<5
2020-03-11,21003,Berchem-Sainte-Agathe,<5
2020-03-11,21004,Bruxelles,<5
2020-03-11,21005,Etterbeek,<5
2020-03-11,21008,Ganshoren,<5
2020-03-11,21009,Ixelles,<5
2020-03-11,21012,Molenbeek-Saint-Jean,<5
2020-03-11,21015,Schaerbeek,<5
2020-03-11,21016,Uccle,<5
2020-03-12,21001,Anderlecht,<5
2020-03-12,21002,Auderghem,<5
2020-03-12,21004,Bruxelles,<5
2020-03-12,21005,Etterbeek,<5
2020-03-12,21006,Evere,<5
2020-03-12,21007,Forest (Bruxelles-Capitale),<5
2020-03-12,21009,Ixelles,<5
2020-03-12,21012,Molenbeek-Saint-Jean,<5
2020-03-12,21013,Saint-Gilles,<5
2020-03-12,21014,Saint-Josse-ten-Noode,<5
2020-03-12,21016,Uccle,<5
2020-03-12,21017,Watermael-Boitsfort,7
2020-03-12,21019,Woluwe-Saint-Pierre,<5
2020-03-13,21001,Anderlecht,7
2020-03-13,21003,Berchem-Sainte-Agathe,<5
