DATE,NIS5,TX_DESCR_FR,CASES
2020-03-01,61028,Héron,<5
2020-03-03,62003,Ans,<5
2020-03-03,62051,Herstal,<5
2020-03-03,63035,Herve,<5
2020-03-04,62051,Herstal,<5
2020-03-04,62063,Liège,<5
2020-03-04,63040,La Calamine,<5
2020-03-04,63049,Malmedy,<5
2020-03-05,62099,Soumagne,<5
2020-03-05,63035,Herve,<5
2020-03-05,63046,Limbourg,<5
2020-03-06,61043,Nandrin,<5
2020-03-06,62022,Chaudfontaine,<5
2020-03-06,62096,Seraing,<5
2020-03-06,63013,Butgenbach,<5
2020-03-06,63035,Herve,<5
2020-03-06,64008,Berloz,<5
2020-03-07,62063,Liège,<5
2020-03-07,62079,Oupeye,<5
2020-03-07,62093,Saint-Nicolas (Liège),<5
2020-03-08,61043,Nandrin,<5
2020-03-08,62027,Dalhem,<5
2020-03-08,62051,Herstal,<5
2020-03-08,63035,Herve,<5
2020-03-08,63061,Raeren,<5
2020-03-08,63076,Theux,<5
2020-03-08,63079,Verviers,<5
2020-03-08,63084,Welkenraedt,<5
2020-03-09,61024,Hamoir,<5
2020-03-09,61043,Nandrin,<5
2020-03-09,61068,Villers-Le-Bouillet,<5
2020-03-09,62003,Ans,<5
2020-03-09,62063,Liège,5
2020-03-09,62093,Saint-Nicolas (Liège),<5
2020-03-09,63035,Herve,<5
2020-03-09,63045,Lierneux,<5
2020-03-09,63046,Limbourg,<5
2020-03-09,63079,Verviers,<5
2020-03-09,64034,Hannut,<5
2020-03-10,62006,Awans,<5
2020-03-10,62022,Chaudfontaine,<5
2020-03-10,62063,Liège,<5
2020-03-10,62096,Seraing,<5
2020-03-10,63040,La Calamine,<5
2020-03-10,63080,Waimes,<5
2020-03-11,62003,Ans,<5
2020-03-11,62006,Awans,<5
2020-03-11,62009,Aywaille,<5
2020-03-11,62022,Chaudfontaine,<5
2020-03-11,62032,Esneux,<5
2020-03-11,62038,Fléron,<5
2020-03-11,62051,Herstal,<5
