DATE,NIS5,TX_DESCR_FR,CASES
2020-03-03,92094,Namur,<5
2020-03-05,91064,Havelange,<5
2020-03-06,91064,Havelange,<5
2020-03-06,92003,Andenne,<5
2020-03-09,91064,Havelange,<5
2020-03-09,92094,Namur,<5
2020-03-09,93014,Couvin,<5
2020-03-11,92003,Andenne,<5
2020-03-12,92035,Eghezée,<5
2020-03-13,91013,Beauraing,<5
2020-03-13,91030,Ciney,<5
2020-03-13,91064,Havelange,<5
2020-03-13,92094,Namur,<5
2020-03-14,92003,Andenne,<5
2020-03-14,93088,Walcourt,<5
2020-03-15,92003,Andenne,<5
2020-03-17,91005,Anhée,<5
2020-03-17,91054,Gedinne,<5
2020-03-17,92003,Andenne,<5
2020-03-17,92006,Assesse,<5
2020-03-17,92035,Eghezée,<5
2020-03-17,92094,Namur,<5
2020-03-18,91013,Beauraing,<5
2020-03-18,91030,Ciney,<5
2020-03-18,91059,Hamois,<5
2020-03-18,91072,Houyet,<5
2020-03-18,92003,Andenne,<5
2020-03-18,92035,Eghezée,<5
2020-03-18,92054,Gesves,<5
2020-03-18,92087,Mettet,<5
2020-03-18,92094,Namur,5
2020-03-18,93010,Cerfontaine,<5
2020-03-18,93056,Philippeville,<5
2020-03-19,91030,Ciney,<5
2020-03-19,91054,Gedinne,<5
2020-03-19,91064,Havelange,<5
2020-03-19,91072,Houyet,<5
2020-03-19,92003,Andenne,<5
2020-03-19,92035,Eghezée,<5
2020-03-19,92087,Mettet,<5
2020-03-19,92094,Namur,<5
2020-03-19,93056,Philippeville,<5
2020-03-20,91059,Hamois,<5
2020-03-20,92003,Andenne,<5
2020-03-20,92035,Eghezée,<5
2020-03-20,92094,Namur,<5
2020-03-20,93022,Florennes,<5
2020-03-21,91059,Hamois,<5
2020-03-21,91064,Havelange,<5
2020-03-21,92003,Andenne,<5
2020-03-21,92094,Namur,<5
2020-03-21,93088,Walcourt,<5
2020-03-22,91005,Anhée,<5
2020-03-22,91064,Havelange,<5
2020-03-22,92045,Floreffe,<5
2020-03-22,92087,Mettet,<5
2020-03-22,92094,Namur,<5
2020-03-22,93014,Couvin,<5
2020-03-22,93022,Florennes,<5
2020-03-22,93090,Viroinval,<5
2020-03-23,91013,Beauraing,<5
2020-03-23,91059,Hamois,<5
2020-03-23,91064,Havelange,<5
2020-03-23,92003,Andenne,<5
2020-03-23,92006,Assesse,<5
2020-03-23,92035,Eghezée,<5
2020-03-23,92087,Mettet,<5
2020-03-23,92094,Namur,7
2020-03-23,93014,Couvin,<5
