,Confirmed,Deaths,Recovered,Existing
1/22/20,555,17,28,510
1/23/20,654,18,30,606
1/24/20,941,26,36,879
1/25/20,1434,42,39,1353
1/26/20,2118,56,52,2010
1/27/20,2927,82,61,2784
1/28/20,5578,131,107,5340
1/29/20,6166,133,126,5907
1/30/20,8234,171,143,7920
1/31/20,9927,213,222,9492
2/1/20,12038,259,284,11495
2/2/20,16787,362,472,15953
2/3/20,19881,426,623,18832
2/4/20,23892,492,852,22548
2/5/20,27635,564,1124,25947
2/6/20,30794,634,1487,28673
2/7/20,34391,719,2011,31661
2/8/20,37120,806,2616,33698
2/9/20,40150,906,3244,36000
2/10/20,42762,1013,3946,37803
2/11/20,44802,1113,4683,39006
2/12/20,45221,1118,5150,38953
2/13/20,60368,1371,6295,52702
2/14/20,66885,1523,8058,57304
2/15/20,69030,1666,9395,57969
2/16/20,71224,1770,10865,58589
2/17/20,73258,1868,12583,58807
2/18/20,75136,2007,14352,58777
2/19/20,75639,2122,16121,57396
2/20/20,76197,2247,18177,55773
2/21/20,76819,2251,18890,55678
2/22/20,78572,2458,22886,53228
2/23/20,78958,2469,23394,53095
2/24/20,79561,2629,25227,51705
2/25/20,80406,2708,27905,49793
2/26/20,81388,2770,30384,48234
2/27/20,82746,2814,33277,46655
2/28/20,84112,2872,36711,44529
2/29/20,86011,2941,39782,43288
3/1/20,88369,2996,42716,42657
3/2/20,90306,3085,45602,41619
3/3/20,92840,3160,48228,41452
3/4/20,95120,3254,51170,40696
3/5/20,97886,3348,53796,40742
3/6/20,101801,3460,55865,42476
3/7/20,105847,3558,58358,43931
3/8/20,109821,3802,60694,45325
3/9/20,113590,3988,62494,47108
3/10/20,118620,4262,64404,49954
3/11/20,125875,4615,67003,54257
3/12/20,128352,4720,68324,55308
3/13/20,145205,5404,70251,69550
3/14/20,156101,5819,72624,77658
3/15/20,167454,6440,76034,84980
3/16/20,181574,7126,78088,96360
3/17/20,197102,7905,80840,108357
3/18/20,214821,8733,83312,122776
3/19/20,242500,9867,84975,147658
3/20/20,272035,11299,87403,173333
3/21/20,304396,12973,91675,199748
3/22/20,336953,14651,97882,224420
3/23/20,378235,16505,98334,263396
3/24/20,418045,18625,107984,291436
3/25/20,467593,21180,113184,333229
