Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-05 23:06:45,349,7,15,327
Albania,Albanie,Europe,2020-04-05 23:06:45,361,20,104,237
Algeria,Algérie,Afrique,2020-04-05 23:06:45,1320,152,90,1078
Andorra,Andorre,Europe,2020-04-05 23:06:45,501,18,26,457
Angola,Angola,Afrique,2020-04-05 23:06:45,14,2,2,10
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-05 23:06:45,15,0,0,15
Arab Republic of Egypt,Égypte,Afrique,2020-04-05 23:06:45,1173,78,247,848
Argentina,Argentine,Amérique du Sud,2020-04-05 23:06:45,1451,44,280,1127
Armenia,Arménie,Asie,2020-04-05 23:06:45,822,7,57,758
Australia,Australie,Océanie,2020-04-05 23:06:45,5687,35,757,4895
Austria,Autriche,Europe,2020-04-05 23:06:45,12051,204,2998,8849
Azerbaijan,Azebaïdjan,Asie,2020-04-05 23:06:45,584,7,32,545
Bahrain,Bahrein,Asie,2020-04-05 23:06:45,700,4,431,265
Bangladesh,Bangladesh,Asie,2020-04-05 23:06:45,88,9,33,46
Barbados,Barbados,Amérique Centrale,2020-04-05 23:06:45,56,1,6,49
Belarus,Biélorusse,Europe,2020-04-05 23:06:45,562,8,52,502
Belgium,Belgique,Europe,2020-04-05 23:06:45,19691,1447,3751,14493
Belize,Belize,Amérique Centrale,2020-04-05 23:06:45,5,0,0,5
Benin,Bénin,Afrique,2020-04-05 23:06:45,22,0,5,17
Bhutan,Bhoutan,Asie,2020-04-05 23:06:45,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-05 23:06:45,157,10,2,145
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-05 23:06:45,654,23,30,601
Botswana,Botswana,Afrique,2020-04-05 23:06:45,6,1,0,5
Brazil,Brésil,Amérique du Sud,2020-04-05 23:06:45,11130,486,127,10517
Brunei Darussalam,Brunei,Asie,2020-04-05 23:06:45,135,1,73,61
Bulgaria,Bulgarie,Europe,2020-04-05 23:06:45,531,20,37,474
Burkina Faso,Burkina Faso,Afrique,2020-04-05 23:06:45,345,17,90,238
Burundi,Burundi,Afrique,2020-04-05 23:06:45,3,0,0,3
Cambodia,Cambodge,Asie,2020-04-05 23:06:45,114,0,50,64
Cameroon,Cameroun,Afrique,2020-04-05 23:06:45,650,9,17,624
Canada,Canada,Amérique du Nord,2020-04-05 23:06:45,15756,259,3012,12485
Cape Verde,Cap Vert,Afrique,2020-04-05 23:06:45,7,1,0,6
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-05 23:06:45,8,0,0,8
Chad,Tchad,Afrique,2020-04-05 23:06:45,9,0,0,9
Chile,Chili,Amérique du Sud,2020-04-05 23:06:45,4471,34,618,3819
China,Chine,Asie,2020-04-05 23:06:45,82602,3333,77207,2062
Colombia,Colombie,Amérique du Sud,2020-04-05 23:06:45,1485,35,88,1362
Congo,Congo,Afrique,2020-04-05 23:06:45,45,5,2,38
Costa Rica,Costa Rica,Amérique du Sud,2020-04-05 23:06:45,454,2,16,436
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-05 23:06:45,261,3,37,221
Croatia,Croatie,Europe,2020-04-05 23:06:45,1182,15,125,1042
Cuba,Cuba,Amérique Centrale,2020-04-05 23:06:45,320,8,15,297
Cyprus,Chypre,Europe,2020-04-05 23:06:45,446,9,37,400
Czech Republic,République Tchèque,Europe,2020-04-05 23:06:45,4587,67,96,4424
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-05 23:06:45,154,18,3,133
Denmark,Danemark,Europe,2020-04-05 23:06:45,4561,179,1429,2953
Diamond Princess,Diamond Princess,,2020-04-05 23:06:45,712,11,619,82
Djibouti,Djibouti,Afrique,2020-04-05 23:06:45,59,0,9,50
Dominica,Dominique,Amérique Centrale,2020-04-05 23:06:45,14,0,0,14
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-05 23:06:45,1745,82,17,1646
Ecuador,Équateur,Amérique du Sud,2020-04-05 23:06:45,3646,180,100,3366
El Salvador,El Salvador,Amérique Centrale,2020-04-05 23:06:45,62,3,2,57
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-05 23:06:45,16,0,1,15
Eritrea,Erythrée,Afrique,2020-04-05 23:06:45,29,0,0,29
Estonia,Estonie,Europe,2020-04-05 23:06:45,1097,15,62,1020
Eswatini,Eswatini,Afrique,2020-04-05 23:06:45,9,0,0,9
Ethiopia,Ethiopie,Afrique,2020-04-05 23:06:45,43,2,4,37
Fiji,Iles Fidji,Amérique Centrale,2020-04-05 23:06:45,12,0,0,12
Finland,Finlande,Europe,2020-04-05 23:06:45,1927,28,300,1599
France,France,Europe,2020-04-05 23:06:45,93773,8093,16349,69331
Gabon,Gabon,Afrique,2020-04-05 23:06:45,21,1,1,19
Georgia,Géorgie,Asie,2020-04-05 23:06:45,174,2,36,136
Germany,Allemagne,Europe,2020-04-05 23:06:45,100123,1584,28700,69839
Ghana,Ghana,Afrique,2020-04-05 23:06:45,214,5,31,178
Greece,Grèce,Europe,2020-04-05 23:06:45,1735,73,78,1584
Grenada,Grenade,Amérique Centrale,2020-04-05 23:06:45,12,0,0,12
Guatemala,Guatemala,Amérique Centrale,2020-04-05 23:06:45,61,2,15,44
Guinea,Guinée,Afrique,2020-04-05 23:06:45,121,0,5,116
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-05 23:06:45,18,0,0,18
Guyana,Guyane,Amérique du Sud,2020-04-05 23:06:45,24,4,0,20
Haiti,Haïti,Amérique Centrale,2020-04-05 23:06:45,21,1,1,19
Holy See,Iles Anglo-Normandes,Europe,2020-04-05 23:06:45,7,0,0,7
Honduras,Honduras,Amérique Centrale,2020-04-05 23:06:45,268,22,6,240
Hungary,Hongrie,Europe,2020-04-05 23:06:45,733,34,66,633
Iceland,Islande,Europe,2020-04-05 23:06:45,1486,4,428,1054
India,Inde,Asie,2020-04-05 23:06:45,3588,99,229,3260
Indonesia,Indonésie,Asie,2020-04-05 23:06:45,2273,198,164,1911
Iraq,Irak,Moyen-Orient,2020-04-05 23:06:45,961,61,279,621
Ireland,Irlande,Europe,2020-04-05 23:06:45,4994,158,25,4811
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-05 23:06:45,58226,3603,19736,34887
Israel,Israël,Moyen-Orient,2020-04-05 23:06:45,8430,49,477,7904
Italy,Italie,Europe,2020-04-05 23:06:45,128948,15887,21815,91246
Jamaica,Jamaïque,Amérique Centrale,2020-04-05 23:06:45,58,3,8,47
Japan,Japon,Asie,2020-04-05 23:06:45,3139,77,514,2548
Jordan,Jordanie,Moyen-Orient,2020-04-05 23:06:45,345,5,110,230
Kazakhstan,Kazakhstan,Asie,2020-04-05 23:06:45,584,6,42,536
Kenya,Kenya,Afrique,2020-04-05 23:06:45,142,4,4,134
Kosovo,Kosovo,Europe,2020-04-05 23:06:45,145,1,23,121
Kuwait,Koweit,Moyen-Orient,2020-04-05 23:06:45,556,1,99,456
Kyrgyz Republic,Kirghizistan,Asie,2020-04-05 23:06:45,147,1,9,137
Lao People's Democratic Republic,Laos,Asie,2020-04-05 23:06:45,11,0,0,11
Latvia,Lettonie,Europe,2020-04-05 23:06:45,533,1,1,531
Lebanon,Liban,Moyen-Orient,2020-04-05 23:06:45,527,18,54,455
Liberia,Liberia,Afrique,2020-04-05 23:06:45,13,3,3,7
Libya,Libye,Afrique,2020-04-05 23:06:45,18,1,0,17
Liechtenstein,Liechtenstein,Europe,2020-04-05 23:06:45,77,1,0,76
Lithuania,Lituanie,Europe,2020-04-05 23:06:45,811,13,7,791
Luxembourg,Luxembourg,Europe,2020-04-05 23:06:45,2804,36,500,2268
Madagascar,Madagascar,Afrique,2020-04-05 23:06:45,72,0,2,70
Malawi,Malawi,Afrique,2020-04-05 23:06:45,4,0,0,4
Malaysia,Malaisie,Asie,2020-04-05 23:06:45,3662,61,1005,2596
Maldives,Maldives,Asie,2020-04-05 23:06:45,19,0,13,6
Mali,Mali,Afrique,2020-04-05 23:06:45,45,5,1,39
Malta,Malte,Europe,2020-04-05 23:06:45,227,0,5,222
Mauritania,Mauritanie,Afrique,2020-04-05 23:06:45,6,1,2,3
Mauritius,Maurice,Afrique,2020-04-05 23:06:45,227,7,7,213
Mexico,Mexique,Amérique du Nord,2020-04-05 23:06:45,1890,79,633,1178
Moldova,Moldavie,Asie,2020-04-05 23:06:45,864,15,30,819
Monaco,Monaco,Europe,2020-04-05 23:06:45,73,1,3,69
Mongolia,Mongolie,Asie,2020-04-05 23:06:45,14,0,2,12
Montenegro,Montenegro,Europe,2020-04-05 23:06:45,214,2,1,211
Morocco,Maroc,Afrique,2020-04-05 23:06:45,1021,70,76,875
Mozambique,Mozambique,Afrique,2020-04-05 23:06:45,10,0,1,9
MS Zaandam,MS Zaandam,,2020-04-05 23:06:45,9,2,0,7
Myanmar,Birmanie,Asie,2020-04-05 23:06:45,21,1,0,20
Namibia,Namibie,Afrique,2020-04-05 23:06:45,16,0,3,13
Nepal,Népal,Asie,2020-04-05 23:06:45,9,0,1,8
Netherlands,Pays-Bas,Europe,2020-04-05 23:06:45,17953,1771,257,15925
New Zealand,Nouvelle-Zélande,Océanie,2020-04-05 23:06:45,1039,1,156,882
Nicaragua,Nicaragua,Amérique Centrale,2020-04-05 23:06:45,6,1,0,5
Niger,Niger,Afrique,2020-04-05 23:06:45,184,10,13,161
Nigeria,Nigeria,Afrique,2020-04-05 23:06:45,232,5,33,194
North Macedonia,Macédoine du Nord,Europe,2020-04-05 23:06:45,555,18,23,514
Norway,Norvège,Europe,2020-04-05 23:06:45,5687,71,32,5584
Oman,Oman,Moyen-Orient,2020-04-05 23:06:45,298,2,61,235
Pakistan,Pakistan,Asie,2020-04-05 23:06:45,3157,47,211,2899
Panama,Panama,Amérique Centrale,2020-04-05 23:06:45,1801,46,13,1742
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-04-05 23:06:45,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,2020-04-05 23:06:45,104,3,12,89
Peru,Pérou,Amérique du Sud,2020-04-05 23:06:45,2281,83,989,1209
Philippines,Philippines,Asie,2020-04-05 23:06:45,3246,152,64,3030
Poland,Pologne,Europe,2020-04-05 23:06:45,4102,94,134,3874
Portugal,Portugal,Europe,2020-04-05 23:06:45,11278,295,75,10908
Qatar,Qatar,Moyen-Orient,2020-04-05 23:06:45,1604,4,123,1477
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-04-05 23:06:45,159,7,52,100
Republic of Korea,Corée du Sud,Asie,2020-04-05 23:06:45,10237,183,6463,3591
Romania,Roumanie,Europe,2020-04-05 23:06:45,3864,151,374,3339
Russian Federation,Russie,Asie,2020-04-05 23:06:45,5389,45,355,4989
Rwanda,Rwanda,Afrique,2020-04-05 23:06:45,104,0,4,100
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-04-05 23:06:45,10,0,0,10
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-04-05 23:06:45,14,0,1,13
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-04-05 23:06:45,7,0,1,6
San Marino,Saint Marin,Europe,2020-04-05 23:06:45,266,32,35,199
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-04-05 23:06:45,2402,34,488,1880
Senegal,Sénégal,Afrique,2020-04-05 23:06:45,222,2,82,138
Serbia,Serbie,Europe,2020-04-05 23:06:45,1908,51,0,1857
Seychelles,Seychelles,Asie,2020-04-05 23:06:45,10,0,0,10
Sierra Leone,Sierra Leone,Afrique,2020-04-05 23:06:45,6,0,0,6
Singapore,Singapour,Asie,2020-04-05 23:06:45,1309,6,320,983
Slovak Republic,Slovaquie,Europe,2020-04-05 23:06:45,485,1,10,474
Slovenia,Slovénie,Europe,2020-04-05 23:06:45,997,28,79,890
Somalia,Somalie,Afrique,2020-04-05 23:06:45,7,0,1,6
South Africa,Afrique du Sud,Afrique,2020-04-05 23:06:45,1655,11,95,1549
South Sudan,Sud Soudan,Afrique,2020-04-05 23:06:45,1,0,0,1
Spain,Espagne,Europe,2020-04-05 23:06:45,131646,12641,38080,80925
Sri Lanka,Sri Lanka,Asie,2020-04-05 23:06:45,176,5,33,138
Sudan,Soudan,Afrique,2020-04-05 23:06:45,12,2,2,8
Suriname,Suriname,Amérique du Sud,2020-04-05 23:06:45,10,1,0,9
Sweden,Suède,Europe,2020-04-05 23:06:45,6830,401,205,6224
Switzerland,Suisse,Europe,2020-04-05 23:06:45,21100,715,6415,13970
Syrian Arab Republic,Syrie,Moyen-Orient,2020-04-05 23:06:45,19,2,2,15
Taiwan,Taiwan,Asie,2020-04-05 23:06:45,363,5,50,308
Tanzania,Tanzanie,Afrique,2020-04-05 23:06:45,22,1,3,18
Thailand,Thaïlande,Asie,2020-04-05 23:06:45,2169,23,793,1353
The Bahamas,Les Bahamas,Amérique Centrale,2020-04-05 23:06:45,28,4,0,24
The Gambia,Gambie,Afrique,2020-04-05 23:06:45,4,1,2,1
Timor-Leste,Timor Oriental,Asie,2020-04-05 23:06:45,1,0,0,1
Togo,Togo,Afrique,2020-04-05 23:06:45,44,3,20,21
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-04-05 23:06:45,104,7,1,96
Tunisia,Tunisie,Afrique,2020-04-05 23:06:45,574,22,5,547
Turkey,Turquie,Europe,2020-04-05 23:06:45,27069,574,1042,25453
Uganda,Ouganda,Afrique,2020-04-05 23:06:45,52,0,0,52
