Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-10 22:54:07,521,15,32,474
Albania,Albanie,Europe,2020-04-10 22:54:07,416,23,182,211
Algeria,Algérie,Afrique,2020-04-10 22:54:07,1761,256,405,1100
Andorra,Andorre,Europe,2020-04-10 22:54:07,601,26,71,504
Angola,Angola,Afrique,2020-04-10 22:54:07,19,2,2,15
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-10 22:54:07,19,2,0,17
Arab Republic of Egypt,Égypte,Afrique,2020-04-10 22:54:07,1794,135,384,1275
Argentina,Argentine,Amérique du Sud,2020-04-10 22:54:07,1975,82,375,1518
Armenia,Arménie,Asie,2020-04-10 22:54:07,937,12,149,776
Australia,Australie,Océanie,2020-04-10 22:54:07,6215,54,1793,4368
Austria,Autriche,Europe,2020-04-10 22:54:07,13555,319,6064,7172
Azerbaijan,Azebaïdjan,Asie,2020-04-10 22:54:07,991,10,159,822
Bahrain,Bahrein,Asie,2020-04-10 22:54:07,925,6,539,380
Bangladesh,Bangladesh,Asie,2020-04-10 22:54:07,424,27,33,364
Barbados,Barbados,Amérique Centrale,2020-04-10 22:54:07,67,4,11,52
Belarus,Biélorusse,Europe,2020-04-10 22:54:07,1981,19,169,1793
Belgium,Belgique,Europe,2020-04-10 22:54:07,26667,3019,5568,18080
Belize,Belize,Amérique Centrale,2020-04-10 22:54:07,10,2,0,8
Benin,Bénin,Afrique,2020-04-10 22:54:07,35,1,5,29
Bhutan,Bhoutan,Asie,2020-04-10 22:54:07,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-10 22:54:07,268,19,2,247
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-10 22:54:07,901,36,129,736
Botswana,Botswana,Afrique,2020-04-10 22:54:07,13,1,0,12
Brazil,Brésil,Amérique du Sud,2020-04-10 22:54:07,19638,1057,173,18408
Brunei Darussalam,Brunei,Asie,2020-04-10 22:54:07,136,1,99,36
Bulgaria,Bulgarie,Europe,2020-04-10 22:54:07,635,25,54,556
Burkina Faso,Burkina Faso,Afrique,2020-04-10 22:54:07,443,24,146,273
Burundi,Burundi,Afrique,2020-04-10 22:54:07,3,0,0,3
Cambodia,Cambodge,Asie,2020-04-10 22:54:07,119,0,72,47
Cameroon,Cameroun,Afrique,2020-04-10 22:54:07,820,12,98,710
Canada,Canada,Amérique du Nord,2020-04-10 22:54:07,22059,557,5855,15647
Cape Verde,Cap Vert,Afrique,2020-04-10 22:54:07,7,1,1,5
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-10 22:54:07,8,0,0,8
Chad,Tchad,Afrique,2020-04-10 22:54:07,11,0,2,9
Chile,Chili,Amérique du Sud,2020-04-10 22:54:07,6501,65,1571,4865
China,Chine,Asie,2020-04-10 22:54:07,82941,3340,77791,1810
Colombia,Colombie,Amérique du Sud,2020-04-10 22:54:07,2473,80,197,2196
Congo,Congo,Afrique,2020-04-10 22:54:07,60,5,5,50
Costa Rica,Costa Rica,Amérique du Sud,2020-04-10 22:54:07,558,3,42,513
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-10 22:54:07,444,3,52,389
Croatia,Croatie,Europe,2020-04-10 22:54:07,1495,21,231,1243
Cuba,Cuba,Amérique Centrale,2020-04-10 22:54:07,564,15,51,498
Cyprus,Chypre,Europe,2020-04-10 22:54:07,595,10,58,527
Czech Republic,République Tchèque,Europe,2020-04-10 22:54:07,5732,119,346,5267
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-10 22:54:07,215,20,13,182
Denmark,Danemark,Europe,2020-04-10 22:54:07,6014,247,1929,3838
Diamond Princess,Diamond Princess,,2020-04-10 22:54:07,712,11,619,82
Djibouti,Djibouti,Afrique,2020-04-10 22:54:07,150,1,36,113
Dominica,Dominique,Amérique Centrale,2020-04-10 22:54:07,16,0,5,11
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-10 22:54:07,2620,126,98,2396
Ecuador,Équateur,Amérique du Sud,2020-04-10 22:54:07,7161,297,368,6496
El Salvador,El Salvador,Amérique Centrale,2020-04-10 22:54:07,117,6,15,96
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-10 22:54:07,18,0,3,15
Eritrea,Erythrée,Afrique,2020-04-10 22:54:07,34,0,0,34
Estonia,Estonie,Europe,2020-04-10 22:54:07,1258,24,93,1141
Eswatini,Eswatini,Afrique,2020-04-10 22:54:07,12,0,7,5
Ethiopia,Ethiopie,Afrique,2020-04-10 22:54:07,65,3,4,58
Fiji,Iles Fidji,Amérique Centrale,2020-04-10 22:54:07,16,0,0,16
Finland,Finlande,Europe,2020-04-10 22:54:07,2769,48,300,2421
France,France,Europe,2020-04-10 22:54:07,125931,13215,25195,87521
Gabon,Gabon,Afrique,2020-04-10 22:54:07,44,1,1,42
Georgia,Géorgie,Asie,2020-04-10 22:54:07,234,3,54,177
Germany,Allemagne,Europe,2020-04-10 22:54:07,122171,2767,53913,65491
Ghana,Ghana,Afrique,2020-04-10 22:54:07,378,6,4,368
Greece,Grèce,Europe,2020-04-10 22:54:07,2011,92,269,1650
Grenada,Grenade,Amérique Centrale,2020-04-10 22:54:07,14,0,0,14
Guatemala,Guatemala,Amérique Centrale,2020-04-10 22:54:07,126,3,17,106
Guinea,Guinée,Afrique,2020-04-10 22:54:07,212,0,15,197
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-10 22:54:07,36,0,0,36
Guyana,Guyane,Amérique du Sud,2020-04-10 22:54:07,37,6,8,23
Haiti,Haïti,Amérique Centrale,2020-04-10 22:54:07,31,2,0,29
Holy See,Iles Anglo-Normandes,Europe,2020-04-10 22:54:07,8,0,2,6
Honduras,Honduras,Amérique Centrale,2020-04-10 22:54:07,382,23,7,352
Hungary,Hongrie,Europe,2020-04-10 22:54:07,1190,77,112,1001
Iceland,Islande,Europe,2020-04-10 22:54:07,1675,7,751,917
India,Inde,Asie,2020-04-10 22:54:07,7598,246,774,6578
Indonesia,Indonésie,Asie,2020-04-10 22:54:07,3512,306,282,2924
Iraq,Irak,Moyen-Orient,2020-04-10 22:54:07,1279,70,550,659
Ireland,Irlande,Europe,2020-04-10 22:54:07,8089,287,25,7777
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-10 22:54:07,68192,4232,35465,28495
Israel,Israël,Moyen-Orient,2020-04-10 22:54:07,10408,95,1183,9130
Italy,Italie,Europe,2020-04-10 22:54:07,147577,18849,30455,98273
Jamaica,Jamaïque,Amérique Centrale,2020-04-10 22:54:07,63,4,13,46
Japan,Japon,Asie,2020-04-10 22:54:07,5530,99,685,4746
Jordan,Jordanie,Moyen-Orient,2020-04-10 22:54:07,372,7,170,195
Kazakhstan,Kazakhstan,Asie,2020-04-10 22:54:07,812,10,64,738
Kenya,Kenya,Afrique,2020-04-10 22:54:07,189,7,22,160
Kosovo,Kosovo,Europe,2020-04-10 22:54:07,250,7,52,191
Kuwait,Koweit,Moyen-Orient,2020-04-10 22:54:07,993,1,123,869
Kyrgyz Republic,Kirghizistan,Asie,2020-04-10 22:54:07,298,5,35,258
