Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-16 23:30:51,840,30,54,756
Albania,Albanie,Europe,2020-04-16 23:30:51,518,26,277,215
Algeria,Algérie,Afrique,2020-04-16 23:30:51,2268,348,783,1137
Andorra,Andorre,Europe,2020-04-16 23:30:51,673,33,169,471
Angola,Angola,Afrique,2020-04-16 23:30:51,19,2,5,12
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-16 23:30:51,23,3,3,17
Arab Republic of Egypt,Égypte,Afrique,2020-04-16 23:30:51,2673,196,596,1881
Argentina,Argentine,Amérique du Sud,2020-04-16 23:30:51,2571,115,631,1825
Armenia,Arménie,Asie,2020-04-16 23:30:51,1159,18,358,783
Australia,Australie,Océanie,2020-04-16 23:30:51,6462,63,2355,4044
Austria,Autriche,Europe,2020-04-16 23:30:51,14476,410,8986,5080
Azerbaijan,Azebaïdjan,Asie,2020-04-16 23:30:51,1283,15,460,808
Bahrain,Bahrein,Asie,2020-04-16 23:30:51,1700,7,703,990
Bangladesh,Bangladesh,Asie,2020-04-16 23:30:51,1572,60,49,1463
Barbados,Barbados,Amérique Centrale,2020-04-16 23:30:51,75,5,15,55
Belarus,Biélorusse,Europe,2020-04-16 23:30:51,4204,40,203,3961
Belgium,Belgique,Europe,2020-04-16 23:30:51,34809,4857,7562,22390
Belize,Belize,Amérique Centrale,2020-04-16 23:30:51,18,2,0,16
Benin,Bénin,Afrique,2020-04-16 23:30:51,35,1,18,16
Bhutan,Bhoutan,Asie,2020-04-16 23:30:51,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,2020-04-16 23:30:51,441,29,14,398
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-16 23:30:51,1167,43,277,847
Botswana,Botswana,Afrique,2020-04-16 23:30:51,15,1,0,14
Brazil,Brésil,Amérique du Sud,2020-04-16 23:30:51,30425,1924,14026,14475
Brunei Darussalam,Brunei,Asie,2020-04-16 23:30:51,136,1,108,27
Bulgaria,Bulgarie,Europe,2020-04-16 23:30:51,800,38,122,640
Burkina Faso,Burkina Faso,Afrique,2020-04-16 23:30:51,546,32,257,257
Burundi,Burundi,Afrique,2020-04-16 23:30:51,5,1,0,4
Cambodia,Cambodge,Asie,2020-04-16 23:30:51,122,0,98,24
Cameroon,Cameroun,Afrique,2020-04-16 23:30:51,996,22,164,810
Canada,Canada,Amérique du Nord,2020-04-16 23:30:51,30809,1258,9698,19853
Cape Verde,Cap Vert,Afrique,2020-04-16 23:30:51,56,1,1,54
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-16 23:30:51,12,0,4,8
Chad,Tchad,Afrique,2020-04-16 23:30:51,27,0,5,22
Chile,Chili,Amérique du Sud,2020-04-16 23:30:51,8807,105,3299,5403
China,Chine,Asie,2020-04-16 23:30:51,83403,3346,78401,1656
Colombia,Colombie,Amérique du Sud,2020-04-16 23:30:51,3233,144,550,2539
Congo,Congo,Afrique,2020-04-16 23:30:51,117,5,11,101
Costa Rica,Costa Rica,Amérique du Sud,2020-04-16 23:30:51,642,4,74,564
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-16 23:30:51,654,6,146,502
Croatia,Croatie,Europe,2020-04-16 23:30:51,1791,35,529,1227
Cuba,Cuba,Amérique Centrale,2020-04-16 23:30:51,862,27,171,664
Cyprus,Chypre,Europe,2020-04-16 23:30:51,735,12,77,646
Czech Republic,République Tchèque,Europe,2020-04-16 23:30:51,6433,169,972,5292
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-16 23:30:51,267,22,23,222
Denmark,Danemark,Europe,2020-04-16 23:30:51,7074,321,3203,3550
Diamond Princess,Diamond Princess,,2020-04-16 23:30:51,712,12,644,56
Djibouti,Djibouti,Afrique,2020-04-16 23:30:51,591,2,73,516
Dominica,Dominique,Amérique Centrale,2020-04-16 23:30:51,16,0,8,8
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-16 23:30:51,3755,196,215,3344
Ecuador,Équateur,Amérique du Sud,2020-04-16 23:30:51,8225,403,838,6984
El Salvador,El Salvador,Amérique Centrale,2020-04-16 23:30:51,164,6,33,125
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-16 23:30:51,51,0,4,47
Eritrea,Erythrée,Afrique,2020-04-16 23:30:51,35,0,0,35
Estonia,Estonie,Europe,2020-04-16 23:30:51,1434,36,133,1265
Eswatini,Eswatini,Afrique,2020-04-16 23:30:51,16,1,8,7
Ethiopia,Ethiopie,Afrique,2020-04-16 23:30:51,92,3,15,74
Fiji,Iles Fidji,Amérique Centrale,2020-04-16 23:30:51,17,0,0,17
Finland,Finlande,Europe,2020-04-16 23:30:51,3369,75,1700,1594
France,France,Europe,2020-04-16 23:30:51,147091,17941,33327,95823
Gabon,Gabon,Afrique,2020-04-16 23:30:51,80,1,4,75
Georgia,Géorgie,Asie,2020-04-16 23:30:51,348,3,76,269
Germany,Allemagne,Europe,2020-04-16 23:30:51,137698,4052,77000,56646
Ghana,Ghana,Afrique,2020-04-16 23:30:51,641,8,83,550
Greece,Grèce,Europe,2020-04-16 23:30:51,2207,105,269,1833
Grenada,Grenade,Amérique Centrale,2020-04-16 23:30:51,14,0,0,14
Guatemala,Guatemala,Amérique Centrale,2020-04-16 23:30:51,196,5,19,172
Guinea,Guinée,Afrique,2020-04-16 23:30:51,438,1,49,388
