Country/Region,French Name,Confirmed,Deaths,Recovered,Existing,Continent
Afghanistan,Afghanistan,24,0,1,23,Asie
Albania,Albanie,76,2,2,72,Europe
Algeria,Algérie,139,15,32,92,Afrique
Andorra,Andorre,88,0,1,87,Europe
Angola,Angola,2,0,0,2,Afrique
Antigua and Barbuda,Antigua et Barduda,1,0,0,1,Amérique Centrale
Arab Republic of Egypt,Égypte,294,10,41,243,Afrique
Argentina,Argentine,158,4,3,151,Amérique du Sud
Armenia,Arménie,160,0,1,159,Asie
Austria,Autriche,2814,8,9,2797,Europe
Azerbaijan,Azebaïdjan,53,1,11,41,Asie
Bahrain,Bahrein,305,1,125,179,Asie
Bangladesh,Bangladesh,25,2,3,20,Asie
Barbados,Barbados,6,0,0,6,Amérique Centrale
Belarus,Biélorusse,76,0,15,61,Europe
Belgium,Belgique,3401,67,263,3071,Europe
Benin,Bénin,2,0,0,2,Afrique
Bhutan,Bhoutan,2,0,0,2,Asie
Bolivia,Bolivie,19,0,0,19,Amérique du Sud
Bosnia and Herzegovina,Bosnie Herzégovine,93,1,2,90,Europe
Brazil,Brésil,1021,15,2,1004,Amérique du Sud
Brunei Darussalam,Brunei,83,0,2,81,Asie
Bulgaria,Bulgarie,163,3,3,157,Europe
Burkina Faso,Burkina Faso,64,2,5,57,Afrique
C-Australia,,436,6,4,426,Océanie
C-Australia,,229,0,8,221,Océanie
C-Australia,,221,0,8,213,Océanie
C-Australia,,90,1,0,89,Océanie
C-Australia,,67,0,3,64,Océanie
C-Australia,,16,0,3,13,Océanie
C-Australia,,9,0,0,9,Océanie
C-Australia,,3,0,0,3,Océanie
C-Australia,,0,0,0,0,Océanie
C-Canada,,424,10,4,410,Amérique du Nord
C-Canada,,377,3,6,368,Amérique du Nord
C-Canada,,195,1,0,194,Amérique du Nord
C-Canada,,181,5,0,176,Amérique du Nord
C-Canada,,26,0,0,26,Amérique du Nord
C-Canada,,21,0,0,21,Amérique du Nord
C-Canada,,18,0,0,18,Amérique du Nord
C-Canada,,17,0,0,17,Amérique du Nord
C-Canada,,10,0,0,10,Amérique du Nord
C-Canada,,6,0,0,6,Amérique du Nord
C-Canada,,2,0,0,2,Amérique du Nord
C-Canada,,1,0,0,1,Amérique du Nord
C-China,,67800,3139,58946,5715,Asie
C-China,,1400,8,1325,67,Asie
C-China,,1273,22,1250,1,Asie
C-China,,1236,1,1219,16,Asie
C-China,,1018,4,1014,0,Asie
C-China,,990,6,984,0,Asie
C-China,,935,1,934,0,Asie
C-China,,764,7,749,8,Asie
C-China,,631,0,631,0,Asie
C-China,,576,6,570,0,Asie
C-China,,542,3,536,3,Asie
C-China,,504,8,396,100,Asie
