Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-03-28 23:05:25,110,4,2,104
Albania,Albanie,Europe,2020-03-28 23:05:25,197,10,31,156
Algeria,Algérie,Afrique,2020-03-28 23:05:25,454,29,31,394
Andorra,Andorre,Europe,2020-03-28 23:05:25,308,3,1,304
Angola,Angola,Afrique,2020-03-28 23:05:25,5,0,0,5
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-28 23:05:25,7,0,0,7
Arab Republic of Egypt,Égypte,Afrique,2020-03-28 23:05:25,576,36,121,419
Argentina,Argentine,Amérique du Sud,2020-03-28 23:05:25,690,18,72,600
Armenia,Arménie,Asie,2020-03-28 23:05:25,407,1,30,376
Austria,Autriche,Europe,2020-03-28 23:05:25,8271,68,225,7978
Azerbaijan,Azebaïdjan,Asie,2020-03-28 23:05:25,182,4,15,163
Bahrain,Bahrein,Asie,2020-03-28 23:05:25,476,4,265,207
Bangladesh,Bangladesh,Asie,2020-03-28 23:05:25,48,5,15,28
Barbados,Barbados,Amérique Centrale,2020-03-28 23:05:25,26,0,0,26
Belarus,Biélorusse,Europe,2020-03-28 23:05:25,94,0,32,62
Belgium,Belgique,Europe,2020-03-29 12:05:25,10836,431,1359,9046
Belize,Belize,Amérique Centrale,2020-03-28 23:05:25,2,0,0,2
Benin,Bénin,Afrique,2020-03-28 23:05:25,6,0,0,6
Bhutan,Bhoutan,Asie,2020-03-28 23:05:25,3,0,0,3
Bolivia,Bolivie,Amérique du Sud,2020-03-28 23:05:25,74,0,0,74
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-28 23:05:25,258,5,5,248
Brazil,Brésil,Amérique du Sud,2020-03-28 23:05:25,3904,111,6,3787
Brunei Darussalam,Brunei,Asie,2020-03-28 23:05:25,120,1,25,94
Bulgaria,Bulgarie,Europe,2020-03-28 23:05:25,331,7,11,313
Burkina Faso,Burkina Faso,Afrique,2020-03-28 23:05:25,207,11,21,175
C-Australia,,Océanie,2020-03-28 23:11:06,71,0,2,69
C-Australia,,Océanie,2020-03-28 23:11:06,1617,8,4,1605
C-Australia,,Océanie,2020-03-28 23:11:06,15,0,0,15
C-Australia,,Océanie,2020-03-28 23:11:06,625,1,8,616
C-Australia,,Océanie,2020-03-28 23:11:06,287,0,6,281
C-Australia,,Océanie,2020-03-28 23:11:06,62,0,5,57
C-Australia,,Océanie,2020-03-28 23:11:06,685,3,191,491
C-Australia,,Océanie,2020-03-28 23:11:06,278,2,28,248
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,542,2,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,884,17,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,0,1,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,13,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,64,1,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,51,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,120,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,1,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,110,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,1144,18,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,11,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,2498,22,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,0,0,466,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,134,0,0,0
C-Canada,,Amérique du Nord,2020-03-28 23:10:51,4,0,0,0
C-China,,Asie,2020-03-08 05:19:01,990,6,984,0
C-China,,Asie,2020-03-28 06:15:51,573,8,410,155
C-China,,Asie,2020-03-23 23:34:38,578,6,570,2
C-China,,Asie,2020-03-28 01:35:54,337,1,295,41
C-China,,Asie,2020-03-28 02:33:36,136,2,125,9
C-China,,Asie,2020-03-28 02:13:23,1467,8,1341,118
C-China,,Asie,2020-03-20 04:33:45,254,2,250,2
C-China,,Asie,2020-03-18 01:37:43,146,2,144,0
C-China,,Asie,2020-03-24 04:29:15,168,6,168,-6
C-China,,Asie,2020-03-23 01:53:35,319,6,310,3
C-China,,Asie,2020-03-26 00:15:39,484,13,469,2
C-China,,Asie,2020-03-28 01:35:54,1275,22,1251,2
C-China,,Asie,2020-03-28 12:50:45,561,4,112,445
C-China,,Asie,2020-03-28 01:26:49,67801,3177,62098,2526
C-China,,Asie,2020-03-14 08:25:05,1018,4,1014,0
C-China,,Asie,2020-03-28 02:19:27,94,1,74,19
C-China,,Asie,2020-03-27 01:49:01,641,0,631,10
C-China,,Asie,2020-03-23 01:27:01,936,1,934,1
C-China,,Asie,2020-03-28 00:42:19,97,1,92,4
C-China,,Asie,2020-03-28 13:46:17,132,2,124,6
C-China,,Asie,2020-03-28 15:17:10,37,0,10,27
C-China,,Asie,2020-03-16 08:47:05,75,0,75,0
C-China,,Asie,2020-02-23 11:19:02,18,0,18,0
C-China,,Asie,2020-03-26 02:14:25,253,3,242,8
C-China,,Asie,2020-03-27 07:48:45,772,7,752,13
C-China,,Asie,2020-03-28 02:01:16,485,5,334,146
C-China,,Asie,2020-03-25 23:21:31,135,0,133,2
C-China,,Asie,2020-03-27 02:27:01,548,3,536,9
C-China,,Asie,2020-03-28 08:36:09,161,3,133,25
C-China,,Asie,2020-02-23 11:19:02,1,0,1,0
C-China,,Asie,2020-03-08 05:31:02,76,3,73,0
C-China,,Asie,2020-03-26 23:16:51,180,2,172,6
C-China,,Asie,2020-03-28 02:01:16,1251,1,1225,25
C-Denmark,,Europe,2020-03-28 23:05:25,155,0,54,101
C-Denmark,,Europe,2020-03-28 23:05:25,10,0,2,8
C-Denmark,,Europe,2020-03-28 23:05:25,2201,65,1,2135
C-France,,Europe,2020-03-28 23:05:25,28,0,6,22
C-France,,Europe,2020-03-28 23:05:25,30,0,0,30
C-France,,Europe,2020-03-28 23:05:25,102,2,17,83
C-France,,Europe,2020-03-28 23:05:25,93,1,0,92
C-France,,Europe,2020-03-28 23:05:25,63,0,0,63
C-France,,Europe,2020-03-28 23:05:25,15,0,0,15
C-France,,Europe,2020-03-28 23:05:25,183,0,1,182
C-France,,Europe,2020-03-28 23:05:25,5,0,0,5
C-France,,Europe,2020-03-28 23:05:25,11,0,0,11
C-France,,Europe,2020-03-28 23:05:25,37575,2314,5700,29561
C-Netherlands,,Europe,2020-03-28 23:05:25,46,0,1,45
C-Netherlands,,Europe,2020-03-28 23:05:25,8,1,2,5
C-Netherlands,,Europe,2020-03-28 23:05:25,3,0,0,3
C-Netherlands,,Europe,2020-03-28 23:05:25,9762,639,3,9120
C-United Kingdom,,Europe,2020-03-28 23:05:25,2,0,0,2
C-United Kingdom,,Europe,2020-03-28 23:05:25,17,0,2,15
C-United Kingdom,,Europe,2020-03-28 23:05:25,2,0,0,2
C-United Kingdom,,Europe,2020-03-28 23:05:25,8,1,0,7
C-United Kingdom,,Europe,2020-03-28 23:05:25,97,1,0,96
C-United Kingdom,,Europe,2020-03-28 23:05:25,56,0,14,42
