,Confirmed,Deaths,Recovered,Existing
1/22/20,555,17,28,510
1/23/20,654,18,30,606
1/24/20,941,26,36,879
1/25/20,1434,42,39,1353
1/26/20,2118,56,52,2010
1/27/20,2927,82,61,2784
1/28/20,5578,131,107,5340
1/29/20,6166,133,126,5907
1/30/20,8234,171,143,7920
1/31/20,9927,213,222,9492
2/1/20,12038,259,284,11495
2/2/20,16787,362,472,15953
2/3/20,19881,426,623,18832
2/4/20,23892,492,852,22548
2/5/20,27635,564,1124,25947
2/6/20,30794,634,1487,28673
2/7/20,34391,719,2011,31661
2/8/20,37120,806,2616,33698
2/9/20,40150,906,3244,36000
2/10/20,42762,1013,3946,37803
2/11/20,44802,1113,4683,39006
2/12/20,45221,1118,5150,38953
2/13/20,60368,1371,6295,52702
2/14/20,66885,1523,8058,57304
2/15/20,69030,1666,9395,57969
2/16/20,71224,1770,10865,58589
2/17/20,73258,1868,12583,58807
2/18/20,75136,2007,14352,58777
2/19/20,75639,2122,16121,57396
2/20/20,76197,2247,18177,55773
2/21/20,76819,2251,18890,55678
2/22/20,78572,2458,22886,53228
2/23/20,78958,2469,23394,53095
2/24/20,79561,2629,25227,51705
2/25/20,80406,2708,27905,49793
2/26/20,81388,2770,30384,48234
2/27/20,82746,2814,33277,46655
2/28/20,84112,2872,36711,44529
2/29/20,86011,2941,39782,43288
3/1/20,88369,2996,42716,42657
3/2/20,90306,3085,45602,41619
3/3/20,92840,3160,48228,41452
3/4/20,95120,3254,51170,40696
3/5/20,97886,3347,53796,40743
3/6/20,101801,3459,55865,42477
3/7/20,105847,3558,58358,43931
3/8/20,109821,3801,60694,45326
3/9/20,113590,3987,62494,47109
3/10/20,118620,4263,64404,49953
3/11/20,125875,4614,67003,54258
3/12/20,128352,4722,68324,55306
3/13/20,145219,5408,70251,69560
3/14/20,156116,5830,72624,77662
3/15/20,167466,6472,76034,84960
3/16/20,181603,7150,78088,96365
3/17/20,197113,7956,80840,108317
3/18/20,214846,8823,83312,122711
3/19/20,242616,9946,84975,147695
3/20/20,272247,11422,87420,173405
3/21/20,304555,13125,91692,199738
3/22/20,337018,14825,97899,224294
3/23/20,378282,16759,98351,263172
3/24/20,418079,19014,108000,291065
3/25/20,467723,21785,113787,332151
3/26/20,529701,24788,122150,382763
3/27/20,593423,28288,130915,434220
3/28/20,660824,31797,139415,489612
3/29/20,720285,35323,149082,535880
3/30/20,782490,39439,164566,578485
3/31/20,857608,44238,178034,635336
4/1/20,932638,49675,193177,689786
4/2/20,1013458,55817,210263,747378
4/3/20,1095876,61812,225796,808268
4/4/20,1176059,67981,246152,861926
4/5/20,1249737,73076,260012,916649
4/6/20,1321427,78767,276515,966145
4/7/20,1396438,86662,300054,1009722
4/8/20,1480200,93354,328661,1058185
4/9/20,1565538,100882,353975,1110681
4/10/20,1657929,108113,376096,1173720
4/11/20,1736025,114146,402110,1219769
4/12/20,1835164,119853,421722,1293589
4/13/20,1905192,125561,448655,1330976
4/14/20,1975581,132439,473968,1369174
4/15/20,2055506,140658,510504,1404344
4/16/20,2151872,147946,541592,1462334
4/17/20,2239723,156804,567757,1515162
4/18/20,2317339,163214,591715,1562410
4/19/20,2400894,167773,623307,1609814
4/20/20,2471847,173098,645308,1653441
4/21/20,2549175,180237,679894,1689044
4/22/20,2624741,186914,710033,1727794
4/23/20,2708547,193667,738998,1775882
4/24/20,2795875,199999,789596,1806280
4/25/20,2881140,206187,817414,1857539
4/26/20,2955033,209900,845985,1899148
4/27/20,3023722,214484,873677,1935561
4/28/20,3097190,220799,906943,1969448
4/29/20,3172287,227665,948425,1996197
4/30/20,3256853,233357,1013871,2009625
5/1/20,3343777,238619,1052415,2052743
5/2/20,3427343,243808,1093112,2090423
