Country_Region,,,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-03-24 23:37:15,74,1,1,72
Albania,Albanie,Europe,2020-03-24 23:37:15,123,5,10,108
Algeria,Algérie,Afrique,2020-03-24 23:37:15,264,19,24,221
Andorra,Andorre,Europe,2020-03-24 23:37:15,164,1,1,162
Angola,Angola,Afrique,2020-03-24 23:37:15,3,0,0,3
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-24 23:37:15,3,0,0,3
Arab Republic of Egypt,Égypte,Afrique,2020-03-24 23:37:15,402,20,80,302
Argentina,Argentine,Amérique du Sud,2020-03-24 23:37:15,387,6,52,329
Armenia,Arménie,Asie,2020-03-24 23:37:15,249,0,14,235
Austria,Autriche,Europe,2020-03-24 23:37:15,5283,28,9,5246
Azerbaijan,Azebaïdjan,Asie,2020-03-24 23:37:15,87,1,10,76
Bahrain,Bahrein,Asie,2020-03-24 23:37:15,392,3,177,212
Bangladesh,Bangladesh,Asie,2020-03-24 23:37:15,39,4,5,30
Barbados,Barbados,Amérique Centrale,2020-03-24 23:37:15,18,0,0,18
Belarus,Biélorusse,Europe,2020-03-24 23:37:15,81,0,22,59
Belgium,Belgique,Europe,2020-03-24 23:37:15,4269,122,461,3686
Belize,Belize,Amérique Centrale,2020-03-24 23:37:15,1,0,0,1
Benin,Bénin,Afrique,2020-03-24 23:37:15,6,0,0,6
Bhutan,Bhoutan,Asie,2020-03-24 23:37:15,2,0,0,2
Bolivia,Bolivie,Amérique du Sud,2020-03-24 23:37:15,29,0,0,29
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-24 23:37:15,166,3,2,161
Brazil,Brésil,Amérique du Sud,2020-03-24 23:37:15,2247,46,2,2199
Brunei Darussalam,Brunei,Asie,2020-03-24 23:37:15,104,0,2,102
Bulgaria,Bulgarie,Europe,2020-03-24 23:37:15,218,3,3,212
Burkina Faso,Burkina Faso,Afrique,2020-03-24 23:37:15,114,4,7,103
C-Australia,,Océanie,2020-03-24 23:41:50,39,0,0,39
C-Australia,,Océanie,2020-03-24 23:41:50,818,7,4,807
C-Australia,,Océanie,2020-03-24 23:41:50,6,0,0,6
C-Australia,,Océanie,2020-03-24 23:41:50,397,0,8,389
C-Australia,,Océanie,2020-03-24 23:41:50,170,0,6,164
C-Australia,,Océanie,2020-03-24 23:41:50,28,0,3,25
C-Australia,,Océanie,2020-03-24 23:41:50,411,0,97,314
C-Australia,,Océanie,2020-03-24 23:41:50,175,1,1,173
C-Canada,,Océanie,2020-03-24 23:41:36,359,1,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,617,13,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,0,1,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,13,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,21,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,18,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,35,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,51,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,588,7,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,3,0,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,1013,4,0,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,0,0,110,0
C-Canada,,Amérique du Nord,2020-03-24 23:41:36,72,0,0,0
C-China,,Asie,2020-03-08 05:19:01,990,6,984,0
C-China,,Asie,2020-03-24 07:20:23,558,8,401,149
C-China,,Asie,2020-03-23 23:34:38,578,6,570,2
C-China,,Asie,2020-03-24 01:27:08,318,1,295,22
C-China,,Asie,2020-03-24 13:59:18,136,2,119,15
C-China,,Asie,2020-03-24 02:08:23,1428,8,1333,87
C-China,,Asie,2020-03-20 04:33:45,254,2,250,2
C-China,,Asie,2020-03-18 01:37:43,146,2,144,0
C-China,,Asie,2020-03-24 04:29:15,168,6,168,-6
C-China,,Asie,2020-03-23 01:53:35,319,6,310,3
C-China,,Asie,2020-03-24 00:10:20,484,13,468,3
C-China,,Asie,2020-03-23 01:11:34,1274,22,1250,2
C-China,,Asie,2020-03-24 09:09:41,386,4,101,281
C-China,,Asie,2020-03-24 13:02:57,67801,3160,60324,4317
C-China,,Asie,2020-03-14 08:25:05,1018,4,1014,0
C-China,,Asie,2020-03-19 00:16:31,75,1,74,0
C-China,,Asie,2020-03-24 03:30:55,636,0,631,5
C-China,,Asie,2020-03-23 01:27:01,936,1,934,1
C-China,,Asie,2020-03-12 12:54:34,93,1,92,0
C-China,,Asie,2020-03-23 00:54:48,127,2,124,1
C-China,,Asie,2020-03-24 03:30:55,25,0,10,15
C-China,,Asie,2020-03-16 08:47:05,75,0,75,0
C-China,,Asie,2020-02-23 11:19:02,18,0,18,0
C-China,,Asie,2020-03-24 02:39:37,249,3,240,6
C-China,,Asie,2020-03-23 10:26:15,768,7,752,9
C-China,,Asie,2020-03-24 08:05:18,414,4,330,80
C-China,,Asie,2020-03-23 23:25:43,134,0,133,1
C-China,,Asie,2020-03-24 01:27:08,545,3,536,6
C-China,,Asie,2020-03-24 14:16:21,145,3,133,9
C-China,,Asie,2020-02-23 11:19:02,1,0,1,0
C-China,,Asie,2020-03-08 05:31:02,76,3,73,0
C-China,,Asie,2020-03-16 23:37:18,176,2,172,2
C-China,,Asie,2020-03-24 03:30:55,1240,1,1221,18
C-Denmark,,Europe,2020-03-24 23:37:15,122,0,33,89
C-Denmark,,Europe,2020-03-24 23:37:15,5,0,2,3
C-Denmark,,Europe,2020-03-24 23:37:15,1591,32,1,1558
C-France,,Europe,2020-03-24 23:37:15,23,0,6,17
C-France,,Europe,2020-03-24 23:37:15,25,0,0,25
C-France,,Europe,2020-03-24 23:37:15,62,1,0,61
C-France,,Europe,2020-03-24 23:37:15,57,1,0,56
C-France,,Europe,2020-03-24 23:37:15,36,0,0,36
C-France,,Europe,2020-03-24 23:37:15,10,0,0,10
C-France,,Europe,2020-03-24 23:37:15,94,0,1,93
C-France,,Europe,2020-03-24 23:37:15,3,0,0,3
C-France,,Europe,2020-03-24 23:37:15,8,0,0,8
C-France,,Europe,2020-03-24 23:37:15,22304,1100,3281,17923
C-Netherlands,,Europe,2020-03-24 23:37:15,12,0,1,11
C-Netherlands,,Europe,2020-03-24 23:37:15,6,1,0,5
C-Netherlands,,Europe,2020-03-24 23:37:15,2,0,0,2
C-Netherlands,,Europe,2020-03-24 23:37:15,5560,276,2,5282
