Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,2020-04-01 21:58:34,237,4,5,228
Albania,2020-04-01 21:58:34,259,15,67,177
Algeria,2020-04-01 21:58:34,847,58,61,728
Andorra,2020-04-01 21:58:34,390,14,10,366
Angola,2020-04-01 21:58:34,8,2,1,5
Antigua and Barbuda,2020-04-01 21:58:34,7,0,0,7
Arab Republic of Egypt,2020-04-01 21:58:34,779,52,179,548
Argentina,2020-04-01 21:58:34,1054,28,248,778
Armenia,2020-04-01 21:58:34,571,4,31,536
Australia,2020-04-01 22:04:58,84,1,8,75
Australia,2020-04-01 22:04:58,2182,9,4,2169
Australia,2020-04-01 22:04:58,19,0,0,19
Australia,2020-04-01 22:04:58,781,2,8,771
Australia,2020-04-01 22:04:58,367,0,6,361
Australia,2020-04-01 22:04:58,69,2,5,62
Australia,2020-04-01 22:04:58,968,4,343,621
Australia,2020-04-01 22:04:58,392,2,48,342
Austria,2020-04-01 21:58:34,10711,146,1436,9129
Azerbaijan,2020-04-01 21:58:34,359,5,26,328
Bahrain,2020-04-01 21:58:34,569,4,337,228
Bangladesh,2020-04-01 21:58:34,54,6,25,23
Barbados,2020-04-01 21:58:34,34,0,0,34
Belarus,2020-04-01 21:58:34,163,2,53,108
Belgium,2020-04-01 21:58:34,13964,828,2132,11004
Belize,2020-04-01 21:58:34,3,0,0,3
Benin,2020-04-01 21:58:34,13,0,1,12
Bhutan,2020-04-01 21:58:34,4,0,0,4
Bolivia,2020-04-01 21:58:34,115,7,1,107
Bosnia and Herzegovina,2020-04-01 21:58:34,459,13,19,427
Botswana,2020-04-01 21:58:34,4,1,0,3
Brazil,2020-04-01 21:58:34,6836,240,127,6469
Brunei Darussalam,2020-04-01 21:58:34,131,1,52,78
Bulgaria,2020-04-01 21:58:34,422,10,20,392
Burkina Faso,2020-04-01 21:58:34,282,16,46,220
Burundi,2020-04-01 21:58:34,2,0,0,2
Cambodia,2020-04-01 21:58:34,109,0,25,84
Cameroon,2020-04-01 21:58:34,233,6,10,217
Canada,2020-04-01 22:04:44,754,9,0,0
Canada,2020-04-01 22:04:44,1013,24,0,0
Canada,2020-04-01 22:04:44,0,1,0,0
Canada,2020-04-01 22:04:44,13,0,0,0
Canada,2020-04-01 22:04:44,127,1,0,0
Canada,2020-04-01 22:04:44,81,0,0,0
Canada,2020-04-01 22:04:44,175,1,0,0
Canada,2020-04-01 22:04:44,2,0,0,0
Canada,2020-04-01 22:04:44,173,0,0,0
Canada,2020-04-01 22:04:44,2392,37,0,0
Canada,2020-04-01 22:04:44,21,0,0,0
Canada,2020-04-01 22:04:44,4611,33,0,0
Canada,2020-04-01 22:04:44,0,0,1324,0
Canada,2020-04-01 22:04:44,193,3,0,0
Canada,2020-04-01 22:04:44,5,0,0,0
Cape Verde,2020-04-01 21:58:34,6,1,0,5
Central African Republic,2020-04-01 21:58:34,3,0,0,3
Chad,2020-04-01 21:58:34,7,0,0,7
Chile,2020-04-01 21:58:34,3031,16,234,2781
China,2020-03-08 05:19:01,990,6,984,0
China,2020-04-01 00:55:49,580,8,418,154
China,2020-03-29 00:14:12,579,6,570,3
China,2020-04-01 11:54:10,345,1,298,46
China,2020-04-01 14:00:34,138,2,127,9
China,2020-04-01 05:36:53,1501,8,1357,136
China,2020-03-20 04:33:45,254,2,250,2
China,2020-03-18 01:37:43,146,2,144,0
China,2020-03-24 04:29:15,168,6,168,-6
China,2020-04-01 00:13:24,323,6,310,7
China,2020-03-26 00:15:39,484,13,469,2
China,2020-03-29 01:44:01,1276,22,1251,3
China,2020-04-01 11:07:39,765,4,147,614
China,2020-04-01 06:20:26,67802,3193,63326,1283
China,2020-03-14 08:25:05,1018,4,1014,0
China,2020-04-01 06:20:26,111,1,74,36
China,2020-03-31 01:10:41,646,0,631,15
China,2020-03-30 03:15:15,937,1,935,1
China,2020-03-29 00:28:20,98,1,92,5
China,2020-04-01 00:18:27,140,2,124,14
China,2020-03-31 13:54:04,41,0,10,31
China,2020-03-16 08:47:05,75,0,75,0
China,2020-02-23 11:19:02,18,0,18,0
China,2020-04-01 01:36:18,255,3,242,10
China,2020-03-31 00:44:17,774,7,753,14
China,2020-04-01 00:04:18,516,6,341,169
China,2020-03-31 23:35:56,137,0,133,4
China,2020-04-01 11:54:10,552,3,537,12
