,Data,,,
Country_Region,Sum - Confirmed,Sum - Deaths,Sum - Recovered,Sum - Active
Afghanistan,281,6,10,265
Albania,304,17,89,198
Algeria,1171,105,62,1004
Andorra,439,16,16,407
Angola,8,2,1,5
Antigua and Barbuda,15,0,0,15
Arab Republic of Egypt,985,66,216,703
Argentina,1265,39,266,960
Armenia,736,7,43,686
Australia,5330,28,649,4653
Austria,11524,168,2022,9334
Azerbaijan,443,5,32,406
Bahrain,672,4,382,286
Bangladesh,61,6,26,29
Barbados,51,0,0,51
Belarus,351,4,53,294
Belgium,16770,1143,2872,12755
Belize,4,0,0,4
Benin,16,0,2,14
Bhutan,5,0,2,3
Bolivia,132,9,1,122
Bosnia and Herzegovina,579,17,27,535
Botswana,4,1,0,3
Brazil,9056,359,127,8570
Brunei Darussalam,134,1,65,68
Bulgaria,485,14,30,441
Burkina Faso,302,16,50,236
Burundi,3,0,0,3
Cambodia,114,0,35,79
Cameroon,509,8,17,484
Canada,12437,179,2175,0
Cape Verde,6,1,0,5
Central African Republic,8,0,0,8
Chad,8,0,0,8
Chile,3737,22,427,3288
China,82511,3326,76760,2425
Colombia,1267,25,55,1187
Congo,22,2,2,18
Costa Rica,416,2,11,403
Côte d'Ivoire,218,1,19,198
Croatia,1079,8,92,979
Cuba,269,6,15,248
Cyprus,396,11,28,357
Czech Republic,4091,53,72,3966
Democratic Republic of Congo,134,13,3,118
Denmark,3946,139,1287,2520
Diamond Princess,712,11,619,82
Djibouti,49,0,8,41
Dominica,12,0,0,12
Dominican Republic,1488,68,16,1404
Ecuador,3368,145,65,3158
El Salvador,46,2,0,44
Equatorial Guinea,16,0,1,15
Eritrea,22,0,0,22
Estonia,961,12,48,901
Eswatini,9,0,0,9
Ethiopia,35,0,3,32
Fiji,7,0,0,7
Finland,1615,20,300,1295
France,65202,6520,14135,44547
Gabon,21,1,1,19
Georgia,155,0,28,127
Germany,91159,1275,24575,65309
Ghana,205,5,31,169
Greece,1613,63,78,1472
Grenada,12,0,0,12
Guatemala,50,1,12,37
Guinea,73,0,2,71
Guinea-Bissau,15,0,0,15
Guyana,23,4,0,19
Haiti,18,0,1,17
Holy See,7,0,0,7
Honduras,222,15,3,204
Hungary,623,26,43,554
Iceland,1364,4,309,1051
India,2567,72,192,2303
Indonesia,1986,181,134,1671
Iraq,820,54,226,540
Ireland,4273,120,5,4148
Islamic Republic of Iran,53183,3294,17935,31954
Israel,7428,40,403,6985
Italy,119827,14681,19758,85388
Jamaica,47,3,2,42
Japan,2617,63,514,2040
Jordan,310,5,58,247
Kazakhstan,464,6,29,429
Kenya,122,4,4,114
Kosovo,126,1,10,115
Kuwait,417,0,82,335
Kyrgyz Republic,130,1,6,123
Lao People's Democratic Republic,10,0,0,10
Latvia,493,1,1,491
Lebanon,508,17,50,441
Liberia,7,0,0,7
Libya,11,1,0,10
Liechtenstein,75,0,0,75
Lithuania,696,9,7,680
Luxembourg,2612,31,500,2081
Madagascar,70,0,0,70
Malawi,3,0,0,3
Malaysia,3333,53,827,2453
Maldives,19,0,13,6
Mali,39,3,0,36
Malta,202,0,2,200
Mauritania,6,1,2,3
Mauritius,186,7,0,179
Mexico,1510,50,633,827
Moldova,591,8,26,557
Monaco,64,1,3,60
Mongolia,14,0,2,12
Montenegro,174,2,1,171
Morocco,791,48,57,686
Mozambique,10,0,0,10
MS Zaandam,9,2,0,7
Myanmar,20,1,0,19
Namibia,14,0,3,11
Nepal,6,0,1,5
Netherlands,15821,1490,260,14071
New Zealand,868,1,103,764
Nicaragua,5,1,0,4
Niger,120,5,0,115
Nigeria,210,4,25,181
North Macedonia,430,12,20,398
Norway,5370,59,32,5279
Oman,252,1,57,194
Pakistan,2686,40,126,2520
Panama,1475,37,10,1428
Papua New Guinea,1,0,0,1
Paraguay,92,3,6,83
Peru,1595,61,537,997
Philippines,3018,136,52,2830
Poland,3383,71,56,3256
Portugal,9886,246,68,9572
Qatar,1075,3,93,979
R. B. de Venezuela,153,7,52,94
Republic of Korea,10062,174,6021,3867
Romania,3183,133,283,2767
Russian Federation,4149,34,281,3834
Rwanda,89,0,0,89
Saint Kitts and Nevis,9,0,0,9
Saint Lucia,13,0,1,12
Saint Vincent and the Grenadines,3,0,1,2
San Marino,245,30,21,194
Saudi Arabia,2039,25,351,1663
Senegal,207,1,66,140
Serbia,1476,39,0,1437
Seychelles,10,0,0,10
Sierra Leone,2,0,0,2
Singapore,1114,5,282,827
Slovak Republic,450,1,10,439
Slovenia,934,20,70,844
Somalia,7,0,1,6
South Africa,1505,9,95,1401
Spain,119199,11198,30513,77488
Sri Lanka,159,4,24,131
Sudan,10,2,2,6
Suriname,10,1,0,9
Sweden,6131,358,205,5568
Switzerland,19606,591,4846,14169
Syrian Arab Republic,16,2,0,14
Taiwan,348,5,50,293
Tanzania,20,1,3,16
Thailand,1978,19,612,1347
The Bahamas,24,1,1,22
The Gambia,4,1,2,1
Timor-Leste,1,0,0,1
Togo,40,3,17,20
Trinidad and Tobago,98,6,1,91
Tunisia,495,18,5,472
Turkey,20921,425,484,20012
Uganda,48,0,0,48
Ukraine,1072,27,22,1023
United Arab Emirates,1264,9,108,1147
United Kingdom,38689,3611,208,34870
Uruguay,369,4,68,297
US,275586,7087,9707,0
Uzbekistan,227,2,25,200
Vietnam,237,0,85,152
West Bank and Gaza,194,1,21,172
Zambia,39,1,2,36
Zimbabwe,9,1,0,8
Total Result,1095917,58787,225796,542459
