Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,,299,7,10,282
Albania,Albanie,Europe,,333,20,99,214
Algeria,Algérie,Afrique,,1251,130,90,1031
Andorra,Andorre,Europe,,466,17,21,428
Angola,Angola,Afrique,,10,2,2,6
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,,15,0,0,15
Arab Republic of Egypt,Égypte,Afrique,,1070,71,241,758
Argentina,Argentine,Amérique du Sud,,1451,43,279,1129
Armenia,Arménie,Asie,,770,7,43,720
Australia,Australie,Océanie,,5550,30,701,4819
Austria,Autriche,Europe,,11781,186,2507,9088
Azerbaijan,Azebaïdjan,Asie,,521,5,32,484
Bahrain,Bahrein,Asie,,688,4,423,261
Bangladesh,Bangladesh,Asie,,70,8,30,32
Barbados,Barbados,Amérique Centrale,,52,0,0,52
Belarus,Biélorusse,Europe,,440,5,53,382
Belgium,Belgique,Europe,,18431,1283,3247,13901
Belize,Belize,Amérique Centrale,,4,0,0,4
Benin,Bénin,Afrique,,16,0,2,14
Bhutan,Bhoutan,Asie,,5,0,2,3
Bolivia,Bolivie,Amérique du Sud,,139,10,1,128
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,,624,21,30,573
Botswana,Botswana,Afrique,,4,1,0,3
Brazil,Brésil,Amérique du Sud,,10360,445,127,9788
Brunei Darussalam,Brunei,Asie,,135,1,66,68
Bulgaria,Bulgarie,Europe,,503,17,34,452
Burkina Faso,Burkina Faso,Afrique,,318,16,66,236
Burundi,Burundi,Afrique,,3,0,0,3
Cambodia,Cambodge,Asie,,114,0,50,64
Cameroon,Cameroun,Afrique,,555,9,17,529
Canada,Canada,Amérique du Nord,,12978,218,2577,10183
Cape Verde,Cap Vert,Afrique,,7,1,0,6
Central African Republic,République d’Afrique Centrale,Afrique,,8,0,0,8
Chad,Tchad,Afrique,,9,0,0,9
Chile,Chili,Amérique du Sud,,4161,27,528,3606
China,Chine,Asie,,82543,3330,76946,2267
Colombia,Colombie,Amérique du Sud,,1406,32,85,1289
Congo,Congo,Afrique,,22,2,2,18
Costa Rica,Costa Rica,Amérique du Sud,,435,2,13,420
Côte d'Ivoire,Cote d’Ivoire,Afrique,,245,1,25,219
Croatia,Croatie,Europe,,1126,12,119,995
Cuba,Cuba,Amérique Centrale,,288,6,15,267
Cyprus,Chypre,Europe,,426,11,33,382
Czech Republic,République Tchèque,Europe,,4472,59,78,4335
Democratic Republic of Congo,République Démocratique du Congo,Afrique,,154,18,3,133
Denmark,Danemark,Europe,,4269,161,1379,2729
Diamond Princess,Diamond Princess,,,712,11,619,82
Djibouti,Djibouti,Afrique,,50,0,8,42
Dominica,Dominique,Amérique Centrale,,14,0,0,14
Dominican Republic,République Dominicaine,Amérique Centrale,,1488,68,16,1404
Ecuador,Équateur,Amérique du Sud,,3465,172,100,3193
El Salvador,El Salvador,Amérique Centrale,,56,3,2,51
Equatorial Guinea,Guinée équatoriale,Afrique,,16,0,1,15
Eritrea,Erythrée,Afrique,,29,0,0,29
Estonia,Estonie,Europe,,1039,13,59,967
Eswatini,Eswatini,Afrique,,9,0,0,9
Ethiopia,Ethiopie,Afrique,,38,0,4,34
Fiji,Iles Fidji,Amérique Centrale,,12,0,0,12
Finland,Finlande,Europe,,1882,25,300,1557
France,France,Europe,,90848,7574,15572,67702
Gabon,Gabon,Afrique,,21,1,1,19
Georgia,Géorgie,Asie,,162,1,36,125
Germany,Allemagne,Europe,,96092,1444,26400,68248
Ghana,Ghana,Afrique,,205,5,31,169
Greece,Grèce,Europe,,1673,68,78,1527
Grenada,Grenade,Amérique Centrale,,12,0,0,12
