Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-26 02:30:51,1463,47,188,1228
Albania,Albanie,Europe,2020-04-26 02:30:51,712,27,403,282
Algeria,Algérie,Afrique,2020-04-26 02:30:51,3256,419,1479,1358
Andorra,Andorre,Europe,2020-04-26 02:30:51,738,40,344,354
Angola,Angola,Afrique,2020-04-26 02:30:51,25,2,6,17
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-26 02:30:51,24,3,11,10
Arab Republic of Egypt,Égypte,Afrique,2020-04-26 02:30:51,4319,307,1114,2898
Argentina,Argentine,Amérique du Sud,2020-04-26 02:30:51,3780,185,1030,2565
Armenia,Arménie,Asie,2020-04-26 02:30:51,1677,28,803,846
Australia,Australie,Océanie,2020-04-26 02:30:51,6694,80,4223,2391
Austria,Autriche,Europe,2020-04-26 02:30:51,15148,536,12103,2509
Azerbaijan,Azebaïdjan,Asie,2020-04-26 02:30:51,1617,21,1080,516
Bahrain,Bahrein,Asie,2020-04-26 02:30:51,2588,8,1160,1420
Bangladesh,Bangladesh,Asie,2020-04-26 02:30:51,4998,140,113,4745
Barbados,Barbados,Amérique Centrale,2020-04-26 02:30:51,79,6,31,42
Belarus,Biélorusse,Europe,2020-04-26 02:30:51,9590,67,1573,7950
Belgium,Belgique,Europe,2020-04-25 00:00:00,45325,6917,10417,27991
Belize,Belize,Amérique Centrale,2020-04-26 02:30:51,18,2,5,11
Benin,Bénin,Afrique,2020-04-26 02:30:51,54,1,27,26
Bhutan,Bhoutan,Asie,2020-04-26 02:30:51,7,0,3,4
Bolivia,Bolivie,Amérique du Sud,2020-04-26 02:30:51,866,46,54,766
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-26 02:30:51,1486,57,592,837
Botswana,Botswana,Afrique,2020-04-26 02:30:51,22,1,0,21
Brazil,Brésil,Amérique du Sud,2020-04-26 02:30:51,59324,4057,29160,26107
Brunei Darussalam,Brunei,Asie,2020-04-26 02:30:51,138,1,121,16
Bulgaria,Bulgarie,Europe,2020-04-24 00:00:00,1247,55,197,995
Burkina Faso,Burkina Faso,Afrique,2020-04-26 02:30:51,629,41,442,146
Burundi,Burundi,Afrique,2020-04-26 02:30:51,11,1,4,6
Cambodia,Cambodge,Asie,2020-04-26 02:30:51,122,0,117,5
Cameroon,Cameroun,Afrique,2020-04-26 02:30:51,1518,53,697,768
Canada,Canada,Amérique du Nord,2020-04-26 02:30:51,45493,2549,16013,26931
Cape Verde,Cap Vert,Afrique,2020-04-26 02:30:51,90,1,1,88
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-26 02:30:51,16,0,10,6
Chad,Tchad,Afrique,2020-04-26 02:30:51,46,0,15,31
Chile,Chili,Amérique du Sud,2020-04-26 02:30:51,12858,181,6746,5931
China,Chine,Asie,2020-04-26 02:31:04,83909,4636,78175,1098
Colombia,Colombie,Amérique du Sud,2020-04-24 00:00:00,5142,233,1067,3842
Congo,Congo,Afrique,2020-04-26 02:30:51,200,6,19,175
Costa Rica,Costa Rica,Amérique du Sud,2020-04-26 02:30:51,693,6,242,445
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-26 02:30:51,1077,14,419,644
Croatia,Croatie,Europe,2020-04-26 02:30:51,2016,54,1034,928
