Country/Region,,Confirmed,Deaths,Recovered,
Afghanistan,Afghanistan,40,1,1,Asie
Albania,Albanie,89,2,2,Europe
Algeria,Algérie,201,17,65,Afrique
Andorra,Andorre,113,1,1,Europe
Angola,Angola,2,0,0,Afrique
Antigua and Barbuda,Antigua et Barduda,1,0,0,Amérique Centrale
Arab Republic of Egypt,Égypte,327,14,56,Afrique
Argentina,Argentine,225,4,3,Amérique du Sud
Armenia,Arménie,194,0,2,Asie
Austria,Autriche,3244,16,9,Europe
Azerbaijan,Azebaïdjan,65,1,10,Asie
Bahrain,Bahrein,332,2,149,Asie
Bangladesh,Bangladesh,27,2,3,Asie
Barbados,Barbados,14,0,0,Amérique Centrale
Belarus,Biélorusse,76,0,15,Europe
Belgium,Belgique,3401,75,263,Europe
Benin,Bénin,2,0,0,Afrique
Bhutan,Bhoutan,2,0,0,Asie
Bolivia,Bolivie,24,0,0,Amérique du Sud
Bosnia and Herzegovina,Bosnie Herzégovine,126,1,2,Europe
Brazil,Brésil,1593,25,2,Amérique du Sud
Brunei Darussalam,Brunei,88,0,2,Asie
Bulgaria,Bulgarie,187,3,3,Europe
Burkina Faso,Burkina Faso,75,4,5,Afrique
C-Australia,,533,6,4,Océanie
C-Australia,,296,0,70,Océanie
C-Australia,,221,0,8,Océanie
C-Australia,,120,1,0,Océanie
C-Australia,,100,0,3,Océanie
C-Australia,,22,0,3,Océanie
C-Australia,,19,0,0,Océanie
C-Australia,,3,0,0,Océanie
C-Australia,,0,0,0,Océanie
C-Canada,,425,5,6,Amérique du Nord
C-Canada,,424,10,4,Amérique du Nord
C-Canada,,259,1,0,Amérique du Nord
C-Canada,,219,5,0,Amérique du Nord
C-Canada,,52,0,0,Amérique du Nord
C-Canada,,28,0,0,Amérique du Nord
C-Canada,,19,0,0,Amérique du Nord
C-Canada,,17,0,0,Amérique du Nord
C-Canada,,13,0,0,Amérique du Nord
C-Canada,,6,0,0,Amérique du Nord
C-Canada,,2,0,0,Amérique du Nord
C-Canada,,1,0,0,Amérique du Nord
C-China,,67800,3144,59433,Asie
C-China,,1407,8,1329,Asie
C-China,,1273,22,1250,Asie
C-China,,1237,1,1219,Asie
C-China,,1018,4,1014,Asie
C-China,,990,6,984,Asie
C-China,,936,1,934,Asie
C-China,,766,7,750,Asie
C-China,,633,0,631,Asie
C-China,,577,6,570,Asie
C-China,,543,3,536,Asie
C-China,,514,8,400,Asie
C-China,,484,13,466,Asie
C-China,,394,4,328,Asie
C-China,,319,6,310,Asie
C-China,,317,4,100,Asie
C-China,,307,1,295,Asie
C-China,,254,2,250,Asie
C-China,,248,3,239,Asie
C-China,,176,2,172,Asie
C-China,,168,6,161,Asie
C-China,,146,2,144,Asie
C-China,,137,3,133,Asie
C-China,,136,2,114,Asie
C-China,,133,0,133,Asie
C-China,,126,2,124,Asie
C-China,,93,1,92,Asie
C-China,,76,3,73,Asie
C-China,,75,1,74,Asie
C-China,,75,0,75,Asie
C-China,,20,0,10,Asie
C-China,,18,0,18,Asie
C-China,,1,0,1,Asie
C-Denmark,,1395,13,1,Europe
C-Denmark,,115,0,0,Europe
C-Denmark,,4,0,0,Europe
C-France,,16018,674,2200,Europe
C-France,,15,0,0,Europe
C-France,,4,0,0,Europe
C-France,,4,0,0,Europe
C-France,,3,0,0,Europe
C-France,,0,0,0,Europe
C-France,,0,0,0,Europe
C-France,,0,0,0,Europe
C-France,,0,0,0,Europe
C-Netherlands,,4204,179,2,Europe
C-Netherlands,,8,0,0,Europe
C-Netherlands,,3,1,0,Europe
C-Netherlands,,1,0,0,Europe
C-United Kingdom,,5683,281,65,Europe
C-United Kingdom,,32,0,0,Europe
C-United Kingdom,,15,0,2,Europe
C-United Kingdom,,5,0,0,Europe
C-United Kingdom,,3,1,0,Europe
C-United Kingdom,,2,0,0,Europe
C-United Kingdom,,1,0,0,Europe
C-US,,15793,117,0,Amérique du Nord
C-US,,1996,95,0,Amérique du Nord
C-US,,1914,20,0,Amérique du Nord
C-US,,1642,30,0,Amérique du Nord
C-US,,1049,9,0,Amérique du Nord
C-US,,1037,9,0,Amérique du Nord
C-US,,837,20,0,Amérique du Nord
C-US,,830,13,0,Amérique du Nord
C-US,,646,5,0,Amérique du Nord
C-US,,627,6,0,Amérique du Nord
C-US,,600,23,0,Amérique du Nord
C-US,,509,3,0,Amérique du Nord
C-US,,505,2,0,Amérique du Nord
C-US,,476,6,0,Amérique du Nord
C-US,,381,4,0,Amérique du Nord
C-US,,355,3,0,Amérique du Nord
C-US,,302,0,0,Amérique du Nord
C-US,,244,3,0,Amérique du Nord
C-US,,223,5,0,Amérique du Nord
C-US,,221,6,0,Amérique du Nord
C-US,,207,1,0,Amérique du Nord
C-US,,201,6,0,Amérique du Nord
C-US,,196,3,0,Amérique du Nord
C-US,,190,2,0,Amérique du Nord
C-US,,181,1,0,Amérique du Nord
C-US,,169,1,0,Amérique du Nord
C-US,,165,0,0,Amérique du Nord
