Country_Region,,Confirmed,Deaths,Recovered,
Afghanistan,Afghanistan,40,1,1,Asie
Albania,Albanie,104,4,2,Europe
Algeria,Algérie,230,17,65,Afrique
Andorra,Andorre,133,1,1,Europe
Angola,Angola,3,0,0,Afrique
Antigua and Barbuda,Antigua et Barduda,3,0,0,Amérique Centrale
Arab Republic of Egypt,Égypte,366,19,68,Afrique
Argentina,Argentine,266,4,27,Amérique du Sud
Armenia,Arménie,235,0,2,Asie
Austria,Autriche,4474,21,9,Europe
Azerbaijan,Azebaïdjan,72,1,10,Asie
Bahrain,Bahrein,377,2,164,Asie
Bangladesh,Bangladesh,33,3,5,Asie
Barbados,Barbados,17,0,0,Amérique Centrale
Belarus,Biélorusse,81,0,22,Europe
Belgium,Belgique,3743,88,401,Europe
Belize,Belize,1,0,0,Amérique Centrale
Benin,Bénin,5,0,0,Afrique
Bhutan,Bhoutan,2,0,0,Asie
Bolivia,Bolivie,27,0,0,Amérique du Sud
Bosnia and Herzegovina,Bosnie Herzégovine,132,1,2,Europe
Brazil,Brésil,1924,34,2,Amérique du Sud
Brunei Darussalam,Brunei,91,0,2,Asie
Bulgaria,Bulgarie,201,3,3,Europe
Burkina Faso,Burkina Faso,99,4,5,Afrique
C-Australia,,32,0,0,Océanie
C-Australia,,669,6,4,Océanie
C-Australia,,5,0,0,Océanie
C-Australia,,319,0,8,Océanie
C-Australia,,134,0,6,Océanie
C-Australia,,28,0,3,Océanie
C-Australia,,355,0,97,Océanie
C-Australia,,140,1,1,Océanie
C-Canada,,301,1,0,Océanie
C-Canada,,472,13,0,Amérique du Nord
C-Canada,,0,1,0,Amérique du Nord
C-Canada,,13,0,0,Amérique du Nord
C-Canada,,20,0,0,Amérique du Nord
C-Canada,,17,0,0,Amérique du Nord
C-Canada,,24,0,0,Amérique du Nord
C-Canada,,41,0,0,Amérique du Nord
C-Canada,,503,6,0,Amérique du Nord
C-Canada,,3,0,0,Amérique du Nord
C-Canada,,628,4,0,Amérique du Nord
C-Canada,,66,0,0,Amérique du Nord
C-China,,990,6,984,Amérique du Nord
C-China,,537,8,401,Asie
C-China,,577,6,570,Asie
C-China,,313,1,295,Asie
C-China,,136,2,114,Asie
C-China,,1415,8,1332,Asie
C-China,,254,2,250,Asie
C-China,,146,2,144,Asie
C-China,,168,6,161,Asie
C-China,,319,6,310,Asie
C-China,,484,13,465,Asie
C-China,,1274,22,1250,Asie
C-China,,356,4,100,Asie
C-China,,67800,3153,59882,Asie
C-China,,1018,4,1014,Asie
C-China,,75,1,74,Asie
C-China,,633,0,631,Asie
C-China,,936,1,934,Asie
C-China,,93,1,92,Asie
C-China,,127,2,124,Asie
C-China,,24,0,10,Asie
C-China,,75,0,75,Asie
C-China,,18,0,18,Asie
C-China,,248,3,239,Asie
C-China,,768,7,752,Asie
C-China,,404,4,329,Asie
C-China,,133,0,133,Asie
C-China,,543,3,536,Asie
C-China,,141,3,133,Asie
C-China,,1,0,1,Asie
C-China,,76,3,73,Asie
C-China,,176,2,172,Asie
C-China,,1238,1,1221,Asie
C-Denmark,,118,0,23,Asie
C-Denmark,,4,0,0,Europe
C-Denmark,,1450,24,1,Europe
C-France,,20,0,6,Europe
C-France,,19874,860,2200,Europe
C-France,,62,1,0,Europe
C-France,,53,1,0,Europe
C-France,,24,0,0,Europe
C-France,,8,0,0,Europe
C-France,,71,0,1,Europe
C-France,,3,0,0,Europe
C-France,,8,0,0,Europe
C-Netherlands,,9,0,1,Europe
C-Netherlands,,4,1,0,Europe
C-Netherlands,,2,0,0,Europe
C-Netherlands,,4749,213,2,Europe
C-United Kingdom,,6,0,0,Europe
C-United Kingdom,,5,1,0,Europe
C-United Kingdom,,36,0,0,Europe
C-United Kingdom,,15,0,5,Europe
C-United Kingdom,,13,0,0,Europe
C-United Kingdom,,1,0,0,Europe
C-United Kingdom,,6650,335,135,Europe
C-US,,43667,552,176,Amérique du Nord
Cambodia,Cambodge,87,0,2,Asie
Cameroon,Cameroun,56,0,2,Afrique
Cape Verde,Cap Vert,3,0,0,Afrique
Central African Republic,République d’Afrique Centrale,3,0,0,Afrique
Chad,Tchad,1,0,0,Afrique
Chile,Chili,746,2,11,Amérique du Sud
Colombia,Colombie,277,3,3,Amérique du Sud
Congo,Congo,4,0,0,Afrique
Costa Rica,Costa Rica,158,2,2,Amérique du Sud
Côte d'Ivoire,Cote d’Ivoire,25,0,2,Afrique
Croatia,Croatie,315,1,5,Europe
Cruise Ship,Diamond Princess,712,8,567,
Cuba,Cuba,40,1,0,Amérique Centrale
Cyprus,Chypre,116,1,3,Europe
Czech Republic,République Tchèque,1236,1,7,Europe
Democratic Republic of Congo,République Démocratique du Congo,36,1,0,Afrique
Djibouti,Djibouti,3,0,0,Afrique
Dominica,Dominique,2,0,0,Amérique Centrale
Dominican Republic,République Dominicaine,245,3,3,Amérique Centrale
Ecuador,Équateur,981,18,3,Amérique du Sud
El Salvador,El Salvador,3,0,0,Amérique Centrale
Equatorial Guinea,Guinée équatoriale,9,0,0,Afrique
Eritrea,Erythrée,1,0,0,Afrique
Estonia,Estonie,352,0,4,Europe
Eswatini,Eswatini,4,0,0,Afrique
Ethiopia,Ethiopie,11,0,0,Afrique
Fiji,Iles Fidji,3,0,0,Amérique Centrale
Finland,Finlande,700,1,10,Europe
Gabon,Gabon,5,1,0,Afrique
Georgia,Géorgie,61,0,8,Asie
Germany,Allemagne,29056,123,453,Europe
Ghana,Ghana,27,2,0,Afrique
Greece,Grèce,695,17,29,Europe
Grenada,Grenade,1,0,0,Amérique Centrale
Guatemala,Guatemala,20,1,0,Amérique Centrale
Guinea,Guinée,4,0,0,Afrique
Guyana,Guyane,20,1,0,Amérique du Sud
Haiti,Haïti,6,0,0,Amérique Centrale
Holy See,Iles Anglo-Normandes,1,0,0,Europe
Honduras,Honduras,27,0,0,Amérique Centrale
Hungary,Hongrie,167,7,16,Europe
Iceland,Islande,588,1,51,Europe
India,Inde,499,10,34,Asie
Indonesia,Indonésie,579,49,30,Asie
Iraq,Irak,266,23,62,Moyen-Orient
Ireland,Irlande,1125,6,5,Europe
Islamic Republic of Iran,Iran,23049,1812,8376,Moyen-Orient
Israel,Israël,1442,1,41,Moyen-Orient
Italy,Italie,63927,6077,7432,Europe
Jamaica,Jamaïque,19,1,2,Amérique Centrale
Japan,Japon,1128,42,235,Asie
Jordan,Jordanie,127,0,1,Moyen-Orient
Kazakhstan,Kazakhstan,62,0,0,Asie
Kenya,Kenya,16,0,0,Afrique
Kosovo,Kosovo,2,0,0,Europe
Kuwait,Koweit,189,0,30,Moyen-Orient
Kyrgyz Republic,Kirghizistan,16,0,0,Asie
Latvia,Lettonie,180,0,1,Europe
Lebanon,Liban,267,4,8,Moyen-Orient
Liberia,Liberia,3,0,0,Afrique
Liechtenstein,Liechtenstein,51,0,0,Europe
Lithuania,Lituanie,179,1,1,Europe
Luxembourg,Luxembourg,875,8,6,Europe
Madagascar,Madagascar,12,0,0,Afrique
Malaysia,Malaisie,1518,14,159,Asie
Maldives,Maldives,13,0,5,Asie
Malta,Malte,107,0,2,Europe
Mauritania,Mauritanie,2,0,0,Afrique
Mauritius,Maurice,36,2,0,Afrique
Mexico,Mexique,316,3,4,Amérique du Nord
Moldova,Moldavie,109,1,2,Asie
Monaco,Monaco,23,0,1,Europe
Mongolia,Mongolie,10,0,0,Asie
Montenegro,Montenegro,27,1,0,Europe
Morocco,Maroc,143,4,5,Afrique
Mozambique,Mozambique,1,0,0,Afrique
Namibia,Namibie,4,0,0,Afrique
Nepal,Népal,2,0,1,Asie
New Zealand,Nouvelle-Zélande,102,0,0,Océanie
Nicaragua,Nicaragua,2,0,0,Amérique Centrale
Niger,Niger,3,0,0,Afrique
Nigeria,Nigeria,40,1,2,Afrique
North Macedonia,Macédoine du Nord,136,2,1,Europe
Norway,Norvège,2621,10,6,Europe
Oman,Oman,66,0,17,Moyen-Orient
Pakistan,Pakistan,875,6,13,Asie
Panama,Panama,313,3,1,Amérique Centrale
Papua New Guinea,Papouasie Nouvelle Guinée,1,0,0,Océanie
Paraguay,Paraguay,22,1,0,Amérique du Sud
Peru,Pérou,395,5,1,Amérique du Sud
Philippines,Philippines,462,33,18,Asie
Poland,Pologne,749,8,13,Europe
Portugal,Portugal,2060,23,14,Europe
Qatar,Qatar,501,0,33,Moyen-Orient
R. B. de Venezuela,Venezuela,77,0,15,Amérique du Sud
Republic of Korea,Corée du Sud,8961,111,3166,Asie
Romania,Roumanie,576,7,73,Europe
Russian Federation,Russie,438,1,17,Asie
Rwanda,Rwanda,36,0,0,Afrique
Saint Lucia,Sainte Lucie,3,0,0,Amérique Centrale
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,1,0,0,Amérique Centrale
San Marino,Saint Marin,187,20,4,Europe
Saudi Arabia,Arabie Saoudite,562,0,19,Moyen-Orient
Senegal,Sénégal,79,0,8,Afrique
Serbia,Serbie,249,3,3,Europe
Seychelles,Seychelles,7,0,0,Asie
Singapore,Singapour,509,2,152,Asie
Slovak republic,Slovaquie,186,0,7,Europe
Slovenia,Slovénie,442,3,0,Europe
Somalia,Somalie,1,0,0,Afrique
South Africa,Afrique du Sud,402,0,4,Afrique
Spain,Espagne,35136,2311,3355,Europe
Sri Lanka,Sri Lanka,97,0,2,Asie
Sudan,Soudan,2,1,0,Afrique
Suriname,Suriname,5,0,0,Amérique du Sud
Sweden,Suède,2046,25,16,Europe
Switzerland,Suisse,8795,120,131,Europe
Syrian Arab Republic,Syrian Arab Republic,1,0,0,Moyen-Orient
Taiwan,Taiwan,195,2,28,Asie
Tanzania,Tanzanie,12,0,0,Afrique
Thailand,Thaïlande,721,1,52,Asie
The Bahamas,Les Bahamas,4,0,0,Amérique Centrale
The Gambia,Gambie,2,1,0,Afrique
Timor-Leste,Timor Oriental,1,0,0,Asie
Togo,Togo,18,0,0,Afrique
Trinidad and Tobago,Trinidad et Tobago,51,0,0,Amérique Centrale
Tunisia,Tunisie,89,3,1,Afrique
Turkey,Turquie,1529,37,0,Europe
Uganda,Ouganda,9,0,0,Afrique
Ukraine,Ukraine,73,3,1,Europe
United Arab Emirates,Émirats Arabes Unis,198,2,41,Moyen-Orient
Uruguay,Uruguay,158,0,0,Amérique du Sud
Uzbekistan,Ouzbékistan,46,0,0,Asie
Vietnam,Vietnam,123,0,17,Asie
Zambia,Zambie,3,0,0,Afrique
Zimbabwe,Zimbabwe,3,1,0,Afrique
