Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Afghanistan,Afghanistan,Asie,2020-04-22 23:30:53,1176,40,166,970
Albania,Albanie,Europe,2020-04-22 23:30:53,634,27,356,251
Algeria,Algérie,Afrique,2020-04-22 23:30:53,2910,402,1204,1304
Andorra,Andorre,Europe,2020-04-22 23:30:53,723,37,309,377
Angola,Angola,Afrique,2020-04-22 23:30:53,25,2,6,17
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-04-22 23:30:53,24,3,10,11
Arab Republic of Egypt,Égypte,Afrique,2020-04-22 23:30:53,3659,276,935,2448
Argentina,Argentine,Amérique du Sud,2020-04-22 23:30:53,3144,152,872,2120
Armenia,Arménie,Asie,2020-04-22 23:30:53,1473,24,633,816
Australia,Australie,Océanie,2020-04-22 23:30:53,6547,67,4124,2356
Austria,Autriche,Europe,2020-04-22 23:30:53,14925,510,11328,3087
Azerbaijan,Azebaïdjan,Asie,2020-04-22 23:30:53,1518,20,907,591
Bahrain,Bahrein,Asie,2020-04-22 23:30:53,2027,7,1026,994
Bangladesh,Bangladesh,Asie,2020-04-22 23:30:53,3772,120,92,3560
Barbados,Barbados,Amérique Centrale,2020-04-22 23:30:53,75,5,25,45
Belarus,Biélorusse,Europe,2020-04-22 23:30:53,7281,58,769,6454
Belgium,Belgique,Europe,2020-04-22 23:30:53,41889,6262,9433,26194
Belize,Belize,Amérique Centrale,2020-04-22 23:30:53,18,2,2,14
Benin,Bénin,Afrique,2020-04-22 23:30:53,54,1,27,26
Bhutan,Bhoutan,Asie,2020-04-22 23:30:53,6,0,2,4
Bolivia,Bolivie,Amérique du Sud,2020-04-22 23:30:53,609,37,44,528
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-04-22 23:30:53,1368,53,460,855
Botswana,Botswana,Afrique,2020-04-22 23:30:53,22,1,0,21
Brazil,Brésil,Amérique du Sud,2020-04-22 23:30:53,45757,2906,25318,17533
Brunei Darussalam,Brunei,Asie,2020-04-22 23:30:53,138,1,117,20
Bulgaria,Bulgarie,Europe,2020-04-22 23:30:53,1024,49,174,801
Burkina Faso,Burkina Faso,Afrique,2020-04-22 23:30:53,609,39,389,181
Burundi,Burundi,Afrique,2020-04-22 23:30:53,11,1,4,6
Cambodia,Cambodge,Asie,2020-04-22 23:30:53,122,0,110,12
Cameroon,Cameroun,Afrique,2020-04-22 23:30:53,1163,43,397,723
Canada,Canada,Amérique du Nord,2020-04-22 23:30:53,41650,2077,14454,25119
Cape Verde,Cap Vert,Afrique,2020-04-22 23:30:53,73,1,1,71
Central African Republic,République d’Afrique Centrale,Afrique,2020-04-22 23:30:53,14,0,10,4
Chad,Tchad,Afrique,2020-04-22 23:30:53,33,0,8,25
Chile,Chili,Amérique du Sud,2020-04-22 23:30:53,11296,160,5386,5750
China,Chine,Asie,2020-04-22 23:38:40,83868,4636,77861,1371
Colombia,Colombie,Amérique du Sud,2020-04-22 23:30:53,4356,206,870,3280
Congo,Congo,Afrique,2020-04-22 23:30:53,186,6,16,164
Costa Rica,Costa Rica,Amérique du Sud,2020-04-22 23:30:53,681,6,180,495
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-04-22 23:30:53,952,14,310,628
Croatia,Croatie,Europe,2020-04-22 23:30:53,1950,48,869,1033
Cuba,Cuba,Amérique Centrale,2020-04-22 23:30:53,1189,40,341,808
Cyprus,Chypre,Europe,2020-04-22 23:30:53,790,13,98,679
Czech Republic,République Tchèque,Europe,2020-04-22 23:30:53,7132,208,1989,4935
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-04-22 23:30:53,359,25,45,289
Denmark,Danemark,Europe,2020-04-22 23:30:53,8108,384,5276,2448
Diamond Princess,Diamond Princess,,2020-04-22 23:30:53,712,13,644,55
Djibouti,Djibouti,Afrique,2020-04-22 23:30:53,974,2,183,789
Dominica,Dominique,Amérique Centrale,2020-04-22 23:30:53,16,0,9,7
Dominican Republic,République Dominicaine,Amérique Centrale,2020-04-22 23:30:53,5300,260,581,4459
Ecuador,Équateur,Amérique du Sud,2020-04-22 23:30:53,10850,537,1262,9051
El Salvador,El Salvador,Amérique Centrale,2020-04-22 23:30:53,237,7,63,167
Equatorial Guinea,Guinée équatoriale,Afrique,2020-04-22 23:30:53,84,1,7,76
Eritrea,Erythrée,Afrique,2020-04-22 23:30:53,39,0,6,33
Estonia,Estonie,Europe,2020-04-22 23:30:53,1559,44,184,1331
Eswatini,Eswatini,Afrique,2020-04-22 23:30:53,31,1,8,22
Ethiopia,Ethiopie,Afrique,2020-04-22 23:30:53,116,3,21,92
Fiji,Iles Fidji,Amérique Centrale,2020-04-22 23:30:53,18,0,8,10
Finland,Finlande,Europe,2020-04-22 23:30:53,4129,149,2000,1980
France,France,Europe,2020-04-22 23:30:53,157125,21373,41326,94426
Gabon,Gabon,Afrique,2020-04-22 23:38:40,166,1,24,141
Georgia,Géorgie,Asie,2020-04-22 23:30:53,416,5,107,304
Germany,Allemagne,Europe,2020-04-22 23:30:53,150648,5279,99400,45969
Ghana,Ghana,Afrique,2020-04-22 23:30:53,1154,9,99,1046
Greece,Grèce,Europe,2020-04-22 23:30:53,2408,121,577,1710
Grenada,Grenade,Amérique Centrale,2020-04-22 23:30:53,15,0,6,9
Guatemala,Guatemala,Amérique Centrale,2020-04-22 23:30:53,316,8,24,284
Guinea,Guinée,Afrique,2020-04-22 23:30:53,761,6,164,591
Guinea-Bissau,Guinée-Bissau,Afrique,2020-04-22 23:30:53,50,0,3,47
Guyana,Guyane,Amérique du Sud,2020-04-22 23:30:53,67,7,9,51
Haiti,Haïti,Amérique Centrale,2020-04-22 23:30:53,62,4,2,56
Holy See,Iles Anglo-Normandes,Europe,2020-04-22 23:30:53,9,0,2,7
Honduras,Honduras,Amérique Centrale,2020-04-22 23:30:53,510,46,30,434
Hungary,Hongrie,Europe,2020-04-22 23:30:53,2168,225,295,1648
Iceland,Islande,Europe,2020-04-22 23:30:53,1785,10,1462,313
India,Inde,Asie,2020-04-22 23:30:53,21370,681,4370,16319
Indonesia,Indonésie,Asie,2020-04-22 23:30:53,7418,635,913,5870
Iraq,Irak,Moyen-Orient,2020-04-22 23:30:53,1631,83,1146,402
Ireland,Irlande,Europe,2020-04-22 23:30:53,16671,769,9233,6669
Islamic Republic of Iran,Iran,Moyen-Orient,2020-04-22 23:30:53,85996,5391,63113,17492
Israel,Israël,Moyen-Orient,2020-04-22 23:30:53,14498,189,5215,9094
Italy,Italie,Europe,2020-04-22 23:30:53,187327,25085,54543,107699
Jamaica,Jamaïque,Amérique Centrale,2020-04-22 23:30:53,233,6,27,200
Japan,Japon,Asie,2020-04-22 23:30:53,11512,281,1356,9875
Jordan,Jordanie,Moyen-Orient,2020-04-22 23:30:53,435,7,315,113
Kazakhstan,Kazakhstan,Asie,2020-04-22 23:30:53,2135,19,515,1601
Kenya,Kenya,Afrique,2020-04-22 23:30:53,303,14,74,215
Kosovo,Kosovo,Europe,2020-04-22 23:30:53,510,12,93,405
Kuwait,Koweit,Moyen-Orient,2020-04-22 23:30:53,2248,13,443,1792
Kyrgyz Republic,Kirghizistan,Asie,2020-04-22 23:30:53,612,7,254,351
Lao People's Democratic Republic,Laos,Asie,2020-04-22 23:30:53,19,0,4,15
Latvia,Lettonie,Europe,2020-04-22 23:30:53,761,11,133,617
Lebanon,Liban,Moyen-Orient,2020-04-22 23:30:53,682,22,113,547
Liberia,Liberia,Afrique,2020-04-22 23:30:53,101,8,20,73
Libya,Libye,Afrique,2020-04-22 23:30:53,59,1,15,43
Liechtenstein,Liechtenstein,Europe,2020-04-22 23:30:53,81,1,55,25
Lithuania,Lituanie,Europe,2020-04-22 23:30:53,1370,38,357,975
